"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1101","Praha 1"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1102","Praha 2"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1103","Praha 3"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1104","Praha 4"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1105","Praha 5"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1106","Praha 6"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1107","Praha 7"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1108","Praha 8"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1109","Praha 9"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1110","Praha 10"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1111","Praha 11"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1112","Praha 12"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1113","Praha 13"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1114","Praha 14"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1115","Praha 15"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1116","Praha 16"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1117","Praha 17"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1118","Praha 18"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1119","Praha 19"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1120","Praha 20"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1121","Praha 21"
"CS","Odvozená vazba","KRAJ_NUTS",100,"3018","Hlavní město Praha","CISSOP",72,"1122","Praha 22"
