Kraj,Rok,Pohlaví,Administrativní a podpůrné činnosti,Doprava a skladování,Informační a komunikační činnosti,"Kulturní, zábavní a rekreační činnosti",Ostatní činnosti,Peněžnictví a pojišťovnictví,"Profesní, vědecké a technické činnosti",Stavebnictví,Těžba a dobývání,"Ubytování, stravování a pohostinství",Velkoobchod a maloob.; opr. mot. vozidel,Veřejná správa a obrana; pov. soc. zabezp.,Vzdělávání,"Výroba a rozvod elektřiny, plynu, tepla",Zdravotní a sociální péče,"Zemědělství, lesnictví a rybářství",Zpracovatelský průmysl,Zásob. vodou; činnosti souvis. s odpady,Činnosti v oblasti nemovitostí
Plzeňský kraj,1996,Z,2304,4914,2578,1664,3290,3104,3217,3071,0,4527,18997,7672,12051,639,11504,8018,31632,516,0
Plzeňský kraj,1997,M,2910,10628,2803,1878,1529,793,3461,26468,563,3679,17515,13646,2363,2489,2704,14449,46889,1960,589
Plzeňský kraj,1997,Z,2223,4812,2954,1411,2528,3419,3081,2692,0,4586,18788,8624,12183,887,12386,7142,29024,0,0
Plzeňský kraj,1998,M,3135,11646,2983,1474,2010,1492,3569,23813,774,4048,15877,9992,2043,3540,3038,12553,48760,2504,535
Plzeňský kraj,1998,Z,2113,4670,2619,1789,3173,2446,2827,2195,0,3749,17240,7339,11957,928,11541,6811,29611,613,0
Plzeňský kraj,1999,M,3196,12877,2816,1519,1200,1698,4302,22487,1164,3249,14346,11878,3526,2701,3044,14023,45103,2116,513
Plzeňský kraj,1999,Z,2225,4381,2240,1452,3527,3127,3173,2056,0,3760,18382,7263,10595,737,12671,4699,30706,578,629
Plzeňský kraj,2000,M,2791,11460,2153,1240,1033,1312,3207,21430,1368,4660,13755,13365,3647,2580,2620,12341,48738,1837,836
Plzeňský kraj,2000,Z,2187,5229,2862,1404,2912,3739,3171,2033,0,7012,18102,6810,10612,843,11943,5132,31025,0,0
Plzeňský kraj,2001,M,3103,12207,2705,1381,1144,2013,3972,22031,880,5560,15129,12076,2999,3027,2780,10928,47016,1941,645
Plzeňský kraj,2001,Z,2109,4470,2453,1098,2864,2514,3579,1969,0,6002,16311,7261,10764,974,13004,4788,33209,0,521
Plzeňský kraj,2002,M,2765,12461,3248,1784,1271,2034,3745,23774,508,4413,13870,11407,2609,2063,2802,12139,48634,820,631
Plzeňský kraj,2002,Z,2277,5433,2133,1461,2992,1682,3622,1444,0,5060,18878,6953,12222,1284,11046,5889,32874,546,923
Plzeňský kraj,2003,M,2562,11573,2707,1521,1015,2173,2604,20857,787,2707,15879,11647,3449,2017,3832,9632,49434,2412,515
Plzeňský kraj,2003,Z,2095,5654,2444,1518,3434,2171,2924,1526,0,4927,16519,8339,11132,1048,15361,3570,31274,757,1258
Plzeňský kraj,2004,M,2444,12864,2377,1888,890,1407,2665,22462,638,3900,15896,10477,3714,3640,3530,8176,49946,1902,518
Plzeňský kraj,2004,Z,2086,4992,2498,1512,2742,2826,3151,1631,0,4760,17137,8485,11849,752,13785,2863,31241,817,748
Plzeňský kraj,2005,M,2837,11325,2511,1039,1025,1523,3560,23896,850,5133,13911,9258,3923,3003,3093,10030,53845,2048,805
Plzeňský kraj,2005,Z,2238,3015,2158,1908,3119,3363,3505,2665,0,5584,15327,8325,9840,591,13438,4240,35202,525,1035
Plzeňský kraj,2006,M,3591,11562,3238,1347,1752,1072,4824,22179,943,3475,13303,11192,2882,2585,3693,9112,51685,2210,1513
Plzeňský kraj,2006,Z,2252,3743,1969,1294,3520,2965,3550,2052,0,4787,17507,9440,9998,1001,12341,4959,33518,578,965
Plzeňský kraj,2007,M,3755,12304,2694,2135,1392,1938,5227,20544,1015,2825,13888,9830,3534,2403,3182,10187,54373,2086,557
Plzeňský kraj,2007,Z,2348,4792,2141,1826,2802,3142,3427,2081,0,4017,15789,8811,11891,836,14014,4229,34824,0,0
Plzeňský kraj,2008,M,3930,10819,2685,1834,1275,1549,4576,22710,0,3861,15103,9486,4077,1696,3913,9554,57675,1998,541
Plzeňský kraj,2008,Z,2741,4190,1095,3330,1582,3347,5109,1555,0,5209,16071,9675,12923,811,14136,3886,34341,922,1221
Plzeňský kraj,2009,M,2978,10876,3231,1921,1862,2043,6160,23436,706,5059,17051,9500,3530,1652,3826,7416,54366,1776,565
Plzeňský kraj,2009,Z,4363,5153,524,3370,3169,2981,4649,2632,0,5197,14753,8487,12291,0,16183,3721,26925,0,1597
Plzeňský kraj,2010,M,3645,11248,3037,2440,849,1653,4304,21669,1117,3924,14403,10014,4415,2322,4110,9964,55421,2266,0
Plzeňský kraj,2010,Z,2756,5008,833,3591,2906,3217,3639,1122,0,5643,17490,7995,12103,0,15990,3597,27196,752,1215
Plzeňský kraj,2011,M,2635,11334,3476,1245,2347,2135,4902,24460,1624,3342,15023,9950,3834,3001,3479,9675,52177,2977,836
Plzeňský kraj,2011,Z,2337,3897,1137,2915,3690,4209,3734,1857,0,5192,15573,9230,11969,1013,14159,3922,29029,1373,1170
Plzeňský kraj,2012,M,2404,13242,4541,1010,1981,2410,4435,21991,1378,4160,14232,9664,4523,2206,4366,9325,54756,2154,689
Plzeňský kraj,2012,Z,1966,4104,1037,1603,3408,3179,5555,2737,0,6042,16649,7335,14081,672,15125,2945,27670,773,975
Plzeňský kraj,2013,M,3031,15394,3117,1432,1158,2585,4158,20508,1159,3193,13850,7927,3911,2155,4285,7226,60742,2640,715
Plzeňský kraj,2013,Z,1902,4799,897,1897,2468,3130,5213,1756,0,4388,17546,7565,14217,1317,16216,2729,32111,0,0
Plzeňský kraj,2014,M,3263,12064,3012,2027,697,2229,4329,21417,0,2689,16907,8629,3769,1999,3644,8613,58820,3382,709
Plzeňský kraj,2014,Z,2573,3814,1277,1909,2915,2941,4041,1654,0,5279,16678,8383,12573,1164,16615,2779,33295,0,835
Plzeňský kraj,2015,M,3423,13791,3312,1978,812,1445,5457,18310,731,3467,14971,9751,3733,1538,3462,9644,64054,2452,918
Plzeňský kraj,2015,Z,2871,5695,1144,2118,2411,2081,5527,2312,0,5780,18355,7866,11667,1159,15907,2620,33175,529,969
Plzeňský kraj,2016,M,3411,13079,2992,2251,671,1307,5641,18948,1138,4727,14027,10453,3030,1070,4119,9111,62425,1993,1258
Plzeňský kraj,2016,Z,2404,5371,717,2042,3126,1779,4850,1935,0,5890,17972,11079,13505,857,13552,3294,33241,1105,599
Plzeňský kraj,2017,M,3627,15301,4475,1551,1024,1408,5048,21871,757,3422,13271,7720,3985,1612,3391,6306,63105,2893,622
Plzeňský kraj,2017,Z,3876,5556,1488,1927,2803,2103,5171,1978,0,3950,15446,10368,15256,1182,15816,2959,34721,1272,1338
Plzeňský kraj,2018,M,3174,15422,5573,3324,1336,1999,4934,19220,0,2536,16441,7138,3062,1986,3407,7715,61086,3245,1472
Plzeňský kraj,2018,Z,2575,6413,2155,2997,3432,2831,5399,1594,0,4967,15105,10254,15349,991,14773,1994,33206,533,1287
Plzeňský kraj,2019,M,2840,15731,5300,3267,1936,1637,6351,15204,0,2575,16284,11103,3017,1710,4494,7231,66107,1444,1083
Plzeňský kraj,2019,Z,2460,4427,2453,2494,3870,2674,4861,1116,0,5196,17959,10122,14566,1139,15715,1847,33136,820,1361
Plzeňský kraj,2020,M,2315,14114,4862,1195,1948,2305,4571,19179,550,3781,14121,9553,2725,2201,5761,8097,65797,2196,542
Plzeňský kraj,2020,Z,2561,5201,1101,2573,3364,2232,5072,2172,0,3802,17622,8674,15950,755,17383,2372,34900,775,646
Plzeňský kraj,2021,M,9243,3205,1344,1578,0,931,3161,13836,62326,5077,14478,3332,5192,3488,1740,1869,1562,20907,6323
Plzeňský kraj,2021,Z,3375,5816,1285,2383,2780,2511,5154,2604,516,4554,15446,8848,15394,794,17963,2056,32803,0,802
Plzeňský kraj,2022,M,2612,15215,4782,2063,1054,1031,5123,19918,1002,2335,13732,10484,3192,2897,4660,7883,62469,3625,1064
Plzeňský kraj,2022,Z,2442,7169,1615,3036,3757,3176,5569,2315,0,6443,15542,9178,15614,757,17789,2172,29771,0,794
Plzeňský kraj,2023,M,2227,13554,5695,941,1241,1393,7342,20492,0,3554,14095,10161,3176,2115,5569,8211,58125,2782,780
Plzeňský kraj,2023,Z,2520,5017,1105,1914,3792,1608,5613,1779,0,5360,13867,11218,15377,1082,18973,3180,29164,0,602
Plzeňský kraj,2024,M,2115,13778,6532,2378,1379,1554,6037,17965,0,3294,13537,9860,3234,2700,4746,8939,62708,2038,1239
Plzeňský kraj,2024,Z,4575,6090,1755,2197,2721,1999,5551,1902,0,4690,13291,11105,18761,712,20669,2764,33035,0,981
Praha,1993,M,10647,32761,12753,11334,4727,7595,22602,48975,0,14829,43156,24840,14581,5202,10777,1397,52302,2217,2388
Praha,1993,Z,7833,19248,10471,9654,7049,13532,19840,10976,579,16000,45656,18916,26653,3605,30112,1084,32737,0,4220
Praha,1994,M,10712,32250,11818,12678,4218,6795,25818,52979,0,13773,45613,24311,11660,5518,9367,1252,49024,2149,2547
Praha,1994,Z,9645,16357,11474,9100,7002,13175,21352,9186,0,14345,51619,23186,26164,3496,29221,0,34290,0,4093
Praha,1995,M,10120,31701,13896,14145,4791,8193,21689,49146,944,14337,48650,22283,13141,6621,11144,1964,48652,3517,3752
Praha,1995,Z,9733,15474,12179,9717,7571,14039,21614,9245,0,13472,51249,22313,28806,2929,31510,1169,31136,1235,4692
Praha,1996,M,10375,32258,14787,11261,4671,9211,22338,51503,613,14849,49618,20548,11068,5954,9639,2771,51730,3734,3538
Praha,1996,Z,9830,17139,11920,10567,8202,16716,22369,10576,0,12414,50774,20009,30517,3347,29582,972,29325,1605,4641
Praha,1997,M,9910,34550,15976,10363,4761,9004,21693,57349,723,16033,47347,19838,11809,4579,8088,2470,49308,3228,4474
Praha,1997,Z,9740,17316,12846,11302,9799,19008,21057,9093,0,15347,51186,21156,27947,2543,29438,647,25337,1919,4250
Praha,1998,M,10735,32268,15262,10747,5682,10252,22433,54414,503,14238,53617,21024,11959,6660,8587,1587,43483,3888,4020
Praha,1998,Z,9903,15306,12964,11458,10669,19805,20298,7776,0,15893,52867,23198,26837,2184,32117,684,24666,1679,3552
Praha,1999,M,10542,33075,12811,9404,5038,8608,21155,55555,552,13350,62883,21666,9883,5848,9136,1127,38904,3706,2622
Praha,1999,Z,10563,17189,12317,9264,9824,18383,20633,7283,0,14976,51664,25633,30163,1634,33168,798,24761,1880,3787
Praha,2000,M,11992,37206,17336,11882,4103,8801,23677,52110,687,13610,54819,19046,10366,4599,8731,2273,37674,3889,3208
Praha,2000,Z,11459,16024,12439,11399,10636,16186,22836,7822,0,13748,51038,24078,28277,1868,30434,1762,20491,984,4055
Praha,2001,M,10127,31981,21957,11215,7816,12637,18601,46904,770,13124,51321,19998,12888,6843,9861,2725,37910,2388,3455
Praha,2001,Z,9295,13520,12994,9909,13456,17181,18322,10915,0,10773,48091,23705,29655,3704,36058,1514,20383,1734,3136
Praha,2002,M,10969,29453,18377,12587,6978,13993,19628,48046,761,17009,49724,19916,12780,6670,11957,1211,38498,3447,3513
Praha,2002,Z,9177,13013,12848,10389,11521,15872,20659,7105,0,16256,44916,25012,35106,2733,33751,1923,18281,1285,1618
Praha,2003,M,11977,33585,17461,13279,4343,11577,21564,49954,0,13333,52286,21889,11239,7005,11480,1001,38023,2719,3675
Praha,2003,Z,10766,15419,12812,9521,10834,19856,24191,6954,0,12747,47043,21266,28663,1733,32957,1300,20387,879,3064
Praha,2004,M,12507,34562,20097,12309,5660,10515,23243,47777,0,15045,53582,21740,10456,5533,9606,1384,33215,3366,4917
Praha,2004,Z,10040,15864,12046,9889,11041,18139,21795,6433,0,11644,40321,23790,29476,1932,34401,649,22007,1086,4448
Praha,2005,M,12642,31377,19268,12468,5555,12483,23937,55079,0,16577,48952,21857,13269,4987,12481,2779,30417,4658,5486
Praha,2005,Z,10659,12278,12127,11671,10848,13178,19993,6835,0,15327,42865,27841,35854,1930,33634,936,16941,1435,5910
Praha,2006,M,13574,33951,19444,12291,5202,11591,26390,49470,0,18294,50924,20746,12961,4710,13331,2114,35753,2272,5197
Praha,2006,Z,13204,12677,9688,12662,8953,15382,25873,7465,0,15822,47230,27245,29744,2596,32966,1073,19639,833,4395
Praha,2007,M,13621,36766,23490,14913,4211,10572,28585,45574,815,21510,52560,20921,13796,3357,13624,943,31031,1469,6145
Praha,2007,Z,13503,11537,10560,11615,9891,18432,27569,9107,0,16227,42372,27159,30711,1264,34184,538,18001,0,4682
Praha,2008,M,14089,33111,33123,12882,4084,15002,33233,45745,0,21534,50119,21182,11622,4273,9643,0,37659,3312,7835
Praha,2008,Z,13846,11646,11744,9112,7844,19487,31263,7870,0,14094,45816,28116,26120,2143,34218,0,17507,0,4989
Praha,2009,M,13515,34335,37873,10608,4546,13946,28503,57739,0,17398,51622,26100,9013,5027,7939,1851,38420,1438,7488
Praha,2009,Z,11108,11342,12638,10764,9026,18913,32691,5960,0,14467,45533,28458,30853,2935,32615,802,18365,0,5494
Praha,2010,M,12611,36122,41151,11248,5685,17065,30190,49811,791,19091,49034,22519,11614,4783,12360,2065,35750,2146,6873
Praha,2010,Z,9639,10896,12637,10730,8972,18240,30492,7039,0,16884,43245,23632,31607,2039,35318,0,15347,572,7488
Praha,2011,M,11578,33442,40190,12354,4994,16657,25188,43245,0,19530,48952,25021,12598,4067,10018,1571,35467,2846,6965
Praha,2011,Z,12523,9247,14582,9775,9669,16555,26435,6017,0,15143,46893,25000,35418,1916,29420,0,14113,1149,5174
Praha,2012,M,12002,29410,33738,11536,5970,19699,30968,49354,648,14039,46962,26158,13655,4115,10905,2224,38951,3123,7774
Praha,2012,Z,12168,7247,10629,11505,12743,20754,31940,6046,0,14047,38372,23260,37028,1451,30855,0,18840,1199,6382
Praha,2013,M,11836,29556,38930,9931,6168,20109,31114,48914,0,15287,43793,19732,14991,5388,8825,1044,44386,3145,8358
Praha,2013,Z,15044,8437,11759,8508,12076,17871,28360,7110,0,14050,42158,23361,34273,1960,33925,1177,17528,904,8437
Praha,2014,M,10823,29122,43470,10814,6142,17896,29404,47858,0,19851,43040,16712,15294,5475,11795,1098,39985,1916,7206
Praha,2014,Z,15416,9766,15845,9096,7064,18098,29677,6035,0,17466,38620,21347,34949,1992,36695,0,17459,1854,6830
Praha,2015,M,15358,32132,37315,11484,5151,18664,27660,45972,0,20266,48424,14442,13255,3193,12576,978,42628,2639,5527
Praha,2015,Z,12537,7156,13597,10243,11402,18634,33119,6028,0,15143,42544,23058,34423,967,36973,563,16816,1083,5551
Praha,2016,M,15488,33953,41193,9860,4296,16959,34202,40615,0,18119,46811,18792,14771,3042,13785,1561,41054,2885,4976
Praha,2016,Z,13650,10523,14899,11311,10730,20745,32474,4182,0,11795,45351,27136,36155,2027,32371,765,19850,1355,4008
Praha,2017,M,16763,33455,33571,10525,2443,15142,39055,40141,795,21429,54697,22161,15854,3239,17138,1188,41150,3096,4604
Praha,2017,Z,14226,10416,14408,11982,9266,18268,38370,5425,0,11105,41687,22906,37207,2005,41708,573,21785,1420,5521
Praha,2018,M,14506,32910,41380,11894,4277,14335,35753,46094,505,17864,52073,24108,13777,4769,16526,1264,44956,3410,5778
Praha,2018,Z,14154,11274,15712,12510,7764,19137,39170,5569,0,18810,43606,21880,36382,1168,40403,0,22092,1459,6748
Praha,2019,M,17646,38884,44772,11798,5357,20497,40565,38668,0,18036,44843,22063,11246,3856,15441,610,45134,3640,7477
Praha,2019,Z,18564,12578,18518,10264,10193,18511,43232,4902,0,19866,42050,22765,32788,2003,37982,0,20081,1911,3723
Praha,2020,M,15803,39566,45652,10371,5492,18524,41218,41045,0,18130,40653,25008,15767,5309,10239,1130,37665,4429,7314
Praha,2020,Z,18508,13734,19705,10369,10327,18014,37431,8038,0,16743,39939,25588,33249,1802,38051,0,16892,974,5928
Praha,2021,M,13941,31633,61259,11185,3821,20928,42601,42771,0,12537,39934,23491,18521,4780,12488,1458,38962,3067,6884
Praha,2021,Z,13450,10495,20592,10073,11600,21767,39177,10602,0,11049,35852,29720,39834,3514,40199,0,14547,0,5054
Praha,2022,M,12232,28200,51579,13022,3688,23630,44100,39954,0,15184,38486,20361,13491,4867,14618,679,33066,2293,10111
Praha,2022,Z,11655,8219,18786,9184,11415,20241,39881,6526,0,10987,37107,27226,36864,2412,39828,920,21366,796,5704
Praha,2023,M,11220,26287,54106,15048,4911,25159,48624,40821,591,11630,36020,17868,12817,2326,14201,1202,34426,2898,11175
Praha,2023,Z,10582,10608,17196,11062,9784,19675,46660,5887,0,8976,33713,21920,33102,1672,38165,646,21461,2200,5541
Praha,2024,M,11882,25404,56046,12056,5975,27655,40264,43582,0,13591,40618,22222,19194,5776,14189,2148,36494,2535,5764
Praha,2024,Z,13313,11536,20607,12522,9185,22674,45439,8564,0,13157,41240,23584,40457,2968,37440,752,20821,948,5404
Středočeský kraj,1993,M,5006,29478,3454,1920,4605,2230,5064,39489,7306,5100,23708,22689,7316,5353,5457,29218,98548,2572,1114
Středočeský kraj,1993,Z,2516,10448,5144,2200,6771,4213,4307,3880,993,7634,31103,10560,24802,1290,24969,14829,64465,1675,1172
Středočeský kraj,1994,M,6004,29396,3735,1913,4114,2752,5725,41534,7385,6986,24412,23377,9983,4173,5595,27689,94189,3707,1017
Středočeský kraj,1994,Z,3412,11602,6094,2589,5513,5699,5203,4426,834,8971,33505,12055,23816,1951,21214,15322,59708,1869,1263
Středočeský kraj,1995,M,5516,30482,3986,2491,4032,2416,5140,43102,5508,7389,27722,21424,9877,6011,5198,26458,94963,2925,724
Středočeský kraj,1995,Z,3266,12163,5143,2086,6104,5867,4431,4041,787,9282,36768,12760,26202,2086,21932,14022,57331,1487,1064
Středočeský kraj,1996,M,5869,30480,3717,2347,3879,2933,5724,44198,5769,6649,32109,20811,9766,7101,5385,24472,92773,4376,1162
Středočeský kraj,1996,Z,3345,11938,4917,2205,5829,7084,5117,4923,1128,8918,38606,14052,29629,2682,20025,12842,54232,1733,632
Středočeský kraj,1997,M,6066,28548,3295,2116,3330,3249,5437,48575,5160,7106,35979,20790,8429,7218,5049,22865,90959,4262,778
Středočeský kraj,1997,Z,4262,12404,5441,2200,5594,7630,6275,4741,807,8160,40825,15408,25336,957,20471,12003,54438,1697,1143
Středočeský kraj,1998,M,6370,31436,4117,2510,2450,2809,5695,51301,2984,8688,32158,22946,7325,6376,4658,21392,89578,4091,1093
Středočeský kraj,1998,Z,4049,13586,5159,1935,5805,6542,6219,5095,706,11903,41377,15457,21576,1070,20988,9966,52732,1292,1850
Středočeský kraj,1999,M,5718,31920,4333,1969,2460,4389,5058,48799,3494,8130,30035,23315,6771,5503,5592,18021,93586,3546,900
Středočeský kraj,1999,Z,4240,12002,4257,2238,7197,8332,6353,3766,0,8988,38732,16990,22515,1081,21810,9951,47929,1314,948
Středočeský kraj,2000,M,6100,30748,4938,3915,3363,3129,5123,51387,2744,7842,28338,22742,6626,5931,7240,17545,87159,3685,1301
Středočeský kraj,2000,Z,4342,11314,4917,3104,7064,7566,7135,3945,1012,8134,37657,14134,23174,1144,22575,9761,51613,1050,1156
Středočeský kraj,2001,M,7327,29462,5839,3095,3231,4428,6957,47531,2422,8249,30270,24338,6778,6757,5247,20212,88096,4828,1456
Středočeský kraj,2001,Z,4344,11165,5797,3348,6913,7362,6838,4785,746,10249,40864,14731,23002,1870,23186,7845,48023,1243,965
Středočeský kraj,2002,M,7589,31779,5433,2239,3504,3850,7038,49825,3148,8070,37183,26790,7852,5839,5523,18365,88417,4414,1785
Středočeský kraj,2002,Z,6116,11899,6263,2151,8431,5690,9363,4229,0,9404,37574,14721,24569,1031,23457,8301,52225,1641,1444
Středočeský kraj,2003,M,7131,33624,5766,4059,3848,3000,7725,48202,1299,10119,33349,27732,6098,4739,5537,18904,87913,4514,1797
Středočeský kraj,2003,Z,5799,12529,4654,3529,10657,8226,8831,4143,0,10553,36391,14037,23577,1008,24364,9282,49048,2068,1809
Středočeský kraj,2004,M,6918,34298,7043,3960,3548,3155,8038,49383,2032,9577,37692,23100,7136,5842,6664,17372,85163,4010,1625
Středočeský kraj,2004,Z,5574,13305,3936,3397,8362,6365,9048,3306,0,11725,40450,16942,22175,1391,23980,7384,48915,1281,2151
Středočeský kraj,2005,M,7026,35629,6740,4507,3576,4241,8362,50097,829,8581,38703,20447,6929,4504,7034,14036,89690,2840,1665
Středočeský kraj,2005,Z,5530,13030,5466,4567,8022,7169,8556,3722,579,9818,36910,18341,22702,1070,25487,7587,53684,1124,1144
Středočeský kraj,2006,M,8509,34832,7310,3871,3337,4784,9899,53996,1722,10689,37480,20171,6239,4581,5416,13851,92748,4173,692
Středočeský kraj,2006,Z,6719,13048,5137,4433,7173,7948,10489,2928,0,14468,34777,19346,21766,930,27496,8425,52558,1483,1281
Středočeský kraj,2007,M,9288,36331,6938,4002,3164,4745,10187,53339,2371,6843,39449,19162,3885,6247,5764,14557,102141,4922,1449
Středočeský kraj,2007,Z,6697,13233,4390,3267,8027,9905,10637,4401,0,12292,38798,21640,22940,1513,25890,7553,52593,1082,995
Středočeský kraj,2008,M,9754,38627,7105,4462,5268,4075,11114,54146,1840,8853,34800,18852,6192,6642,4353,12095,110027,4256,1556
Středočeský kraj,2008,Z,6967,15046,3879,4599,7325,10352,11364,4702,725,10805,43155,17685,25337,891,25715,6140,56618,1588,1685
Středočeský kraj,2009,M,8787,36019,10432,4497,3979,5421,11056,57567,1227,10283,38905,21237,5884,4610,5849,12496,100087,6346,2433
Středočeský kraj,2009,Z,6631,15305,4987,4277,8076,9743,12723,4110,0,11641,41551,19757,25858,663,26794,4925,51211,1236,3044
Středočeský kraj,2010,M,9151,38615,12351,4320,3680,5380,10350,56760,1303,10534,35721,21095,6307,6528,6740,13403,96635,5039,3457
Středočeský kraj,2010,Z,7565,16670,5289,3804,9544,9012,11607,4340,605,9759,42091,21214,25392,1190,27569,4738,47720,1421,3310
Středočeský kraj,2011,M,7672,38441,15130,4874,3263,7620,12418,49503,1577,12930,38130,18530,6571,6397,5958,12516,100193,4707,3738
Středočeský kraj,2011,Z,5623,15515,5101,5012,9635,11408,13324,3264,0,12812,42512,17885,26380,694,29878,4921,50676,1405,2998
Středočeský kraj,2012,M,10026,39641,11859,4608,3151,8584,13607,50576,1546,9882,39041,18611,6692,4460,5044,10412,106850,4051,3734
Středočeský kraj,2012,Z,6787,14338,5937,6164,9550,13671,13139,3620,0,14359,43609,15152,32528,0,30863,5740,49308,1642,2512
Středočeský kraj,2013,M,11502,36437,15739,4588,3561,8654,15232,48480,1180,10417,38694,21753,6247,3663,7096,11154,99445,4521,4947
Středočeský kraj,2013,Z,7092,13581,5220,5938,8304,13257,15498,3190,0,13513,44984,16710,29718,798,32841,6428,49829,1208,2970
Středočeský kraj,2014,M,10605,35234,15256,3360,3335,7292,17106,51501,1898,12209,39204,22104,7864,4515,9036,11912,98482,5270,3573
Středočeský kraj,2014,Z,7675,13181,4296,4460,9475,8982,16842,2599,575,14082,43791,21813,33593,520,32877,3831,49467,1735,2561
Středočeský kraj,2015,M,7861,39275,15644,5210,3997,6704,17586,46826,1892,12359,41589,19992,8388,4554,9147,12755,103990,5650,3918
Středočeský kraj,2015,Z,7741,14353,4069,4069,8886,7968,19356,2599,0,12176,46568,24678,30816,0,33138,4868,52405,1863,2283
Středočeský kraj,2016,M,8721,35878,15040,6917,3438,5061,18151,47092,1738,13595,38952,18690,7391,4305,10616,15550,108231,4510,2963
Středočeský kraj,2016,Z,8239,15038,3137,5549,7091,8154,19196,3699,0,11899,46567,24941,29259,2197,34487,4641,54202,1229,1983
Středočeský kraj,2017,M,8886,37501,15671,5392,2266,6586,19485,47200,1338,12064,41412,20795,6348,3573,7706,14129,114131,4784,3632
Středočeský kraj,2017,Z,6964,14672,3560,5900,9412,10255,21496,3402,0,12475,45844,21687,32528,1702,36075,5246,55333,1609,3796
Středočeský kraj,2018,M,7433,38500,16560,6718,3491,9061,16523,43316,1037,11885,43192,24231,8407,5571,7723,13166,109801,4565,4125
Středočeský kraj,2018,Z,8079,16332,4556,4795,9867,8785,20491,3350,0,14356,44633,23096,37020,1808,36891,7036,56731,1355,3790
Středočeský kraj,2019,M,7953,44062,19948,7817,3335,7618,13753,51289,663,13294,38713,22228,7502,6327,8112,10383,108208,5137,4222
Středočeský kraj,2019,Z,10882,18027,3915,4795,10962,8855,18906,2660,0,12611,45293,24872,39856,1101,39752,5390,56218,1745,2623
Středočeský kraj,2020,M,12246,41152,19729,7885,4506,5667,15406,50993,734,12457,40083,25802,8520,4984,8506,12054,107916,5207,3398
Středočeský kraj,2020,Z,8861,14814,5950,6267,11951,9441,20447,3927,0,11242,46654,26100,35164,1156,38512,4966,53270,2641,2065
Středočeský kraj,2021,M,8107,42570,21898,6182,5250,9162,17288,51004,1675,9067,38069,24812,9396,4459,6814,11986,108075,7072,3271
Středočeský kraj,2021,Z,5359,13390,6132,6974,12437,9415,21573,5601,0,13190,46984,24499,37217,1566,37019,6339,50135,1839,3624
Středočeský kraj,2022,M,8313,43463,20746,6167,3290,8257,17087,57091,1270,11406,38756,18862,7086,5705,11076,10592,107610,5287,2669
Středočeský kraj,2022,Z,8414,15331,6796,4481,10588,8990,20581,4196,0,13669,46899,27551,42476,970,39197,4967,45583,1546,2804
Středočeský kraj,2023,M,7764,44090,18805,5588,3502,8039,16059,55379,1346,11621,39153,23199,7733,3847,8840,12875,103200,5187,4041
Středočeský kraj,2023,Z,8666,13304,5774,5044,9794,9934,18660,3260,0,11725,46207,22641,41103,2007,35334,5230,44249,2214,1192
Středočeský kraj,2024,M,7131,43933,18278,4832,2544,8591,12898,58453,1137,9250,40189,27225,8622,3245,5435,13910,106162,6250,3319
Středočeský kraj,2024,Z,8479,12829,5354,6590,11026,10904,20399,3245,0,11332,50717,23509,38105,1206,39426,6649,59244,1933,2058
Vysočina,1993,M,2472,7380,1204,557,644,1360,1520,16235,3246,1823,10689,9594,3800,3681,2800,25877,39597,892,0
Vysočina,1993,Z,1286,3626,1641,926,2268,1406,931,2240,0,2418,10357,4858,10870,545,9874,14547,32673,0,0
Vysočina,1994,M,2124,7346,1136,650,970,1252,1408,20650,2687,2004,10682,8856,4682,3514,3329,21874,41629,1215,611
Vysočina,1994,Z,1522,3082,1194,615,2092,1726,1436,2023,0,3139,11631,7002,10033,722,11246,11913,35041,0,0
Vysočina,1995,M,2496,11201,1577,860,2113,1106,1330,20260,2195,1997,9635,7275,3754,3776,2551,21866,42526,1584,0
Vysočina,1995,Z,1108,2377,935,0,2845,1826,1239,2139,0,3688,13387,5000,10738,620,9345,10291,37845,0,0
Vysočina,1996,M,2480,11861,1393,533,1942,1245,2394,22222,1887,1431,10682,7352,3244,4264,2617,20533,41535,1357,0
Vysočina,1996,Z,1214,3268,1381,0,3573,1930,1303,1617,0,3416,14461,4394,11081,734,9820,9851,34281,0,0
Vysočina,1997,M,2450,8942,1315,748,788,1176,2334,21483,2244,1995,9901,9997,3109,4202,2158,18377,43953,2000,0
Vysočina,1997,Z,1435,3667,1812,726,2283,2317,2431,1700,510,2364,14387,3759,11228,0,11465,8428,32041,738,0
Vysočina,1998,M,2851,9091,1344,584,1061,2058,2332,23085,2686,2951,9130,7892,3200,3186,2199,19850,43767,2006,0
Vysočina,1998,Z,1483,2691,1463,0,1879,3234,2058,2123,0,2991,11248,5095,11959,0,11181,10130,29537,616,0
Vysočina,1999,M,2888,7899,1205,503,780,1292,2379,21269,1824,2143,10100,7675,2933,3292,2524,19690,43385,1782,0
Vysočina,1999,Z,1352,2398,1511,780,1822,2868,1177,1566,0,3522,11297,5609,10617,0,9603,9693,33590,0,0
Vysočina,2000,M,2541,9004,2061,1224,1118,1057,2369,20377,1075,2265,11533,9283,2795,3952,2575,19454,43472,1451,0
