Kraj,Převažující činnost,Rok,Mzda_Kc
Liberecký kraj, Ostatní činnosti,2005,11136
Moravskoslezský kraj," Zemědělství, lesnictví, rybářství",2005,13166
Moravskoslezský kraj, Těžba a dobývání,2005,23772
Moravskoslezský kraj, Zpracovatelský průmysl,2005,17834
Moravskoslezský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,24327
Moravskoslezský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16485
Moravskoslezský kraj, Stavebnictví,2005,15551
Moravskoslezský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,13789
Moravskoslezský kraj, Doprava a skladování,2005,16182
Moravskoslezský kraj," Ubytování, stravování a pohostinství",2005,8658
Moravskoslezský kraj, Informační a komunikační činnosti,2005,28139
Moravskoslezský kraj, Peněžnictví a pojišťovnictví,2005,26081
Moravskoslezský kraj, Činnosti v oblasti nemovitostí,2005,14602
Moravskoslezský kraj," Profesní, vědecké a technické činnosti",2005,19082
Moravskoslezský kraj, Administrativní a podpůrné činnosti,2005,10414
Moravskoslezský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,21013
Moravskoslezský kraj, Vzdělávání,2005,17250
Moravskoslezský kraj, Zdravotní a sociální péče,2005,15957
Moravskoslezský kraj," Kulturní, zábavní a rekreační činnosti",2005,13971
Moravskoslezský kraj, Ostatní činnosti,2005,11998
Olomouckáý kraj," Zemědělství, lesnictví, rybářství",2005,13268
Olomouckáý kraj, Těžba a dobývání,2005,19079
Olomouckáý kraj, Zpracovatelský průmysl,2005,15765
Olomouckáý kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,18206
Olomouckáý kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,15789
Olomouckáý kraj, Stavebnictví,2005,15288
Olomouckáý kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,13571
Olomouckáý kraj, Doprava a skladování,2005,16358
Olomouckáý kraj," Ubytování, stravování a pohostinství",2005,8565
Olomouckáý kraj, Informační a komunikační činnosti,2005,25593
Olomouckáý kraj, Peněžnictví a pojišťovnictví,2005,21878
Olomouckáý kraj, Činnosti v oblasti nemovitostí,2005,13630
Olomouckáý kraj," Profesní, vědecké a technické činnosti",2005,17545
Olomouckáý kraj, Administrativní a podpůrné činnosti,2005,9704
Olomouckáý kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2005,20521
Olomouckáý kraj, Vzdělávání,2005,16787
Olomouckáý kraj, Zdravotní a sociální péče,2005,16449
Olomouckáý kraj," Kulturní, zábavní a rekreační činnosti",2005,12951
Olomouckáý kraj, Ostatní činnosti,2005,11994
Pardubický kraj," Zemědělství, lesnictví, rybářství",2005,13416
Pardubický kraj, Těžba a dobývání,2005,17523
Pardubický kraj, Zpracovatelský průmysl,2005,15924
Pardubický kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,26576
Pardubický kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2005,16001
Pardubický kraj, Stavebnictví,2005,15442
Pardubický kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,14489
Pardubický kraj, Doprava a skladování,2005,15658
Pardubický kraj," Ubytování, stravování a pohostinství",2005,9026
Pardubický kraj, Informační a komunikační činnosti,2005,22776
Pardubický kraj, Peněžnictví a pojišťovnictví,2005,28091
Pardubický kraj, Činnosti v oblasti nemovitostí,2005,13822
Pardubický kraj," Profesní, vědecké a technické činnosti",2005,19715
Pardubický kraj, Administrativní a podpůrné činnosti,2005,10165
