Kraj,Převažující činnost,Rok,Mzda_Kc
Olomouckáý kraj, Administrativní a podpůrné činnosti,2007,10887
Olomouckáý kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2007,22668
Olomouckáý kraj, Vzdělávání,2007,19009
Olomouckáý kraj, Zdravotní a sociální péče,2007,18946
Olomouckáý kraj," Kulturní, zábavní a rekreační činnosti",2007,14517
Olomouckáý kraj, Ostatní činnosti,2007,13931
Pardubický kraj," Zemědělství, lesnictví, rybářství",2007,15622
Pardubický kraj, Těžba a dobývání,2007,20665
Pardubický kraj, Zpracovatelský průmysl,2007,18323
Pardubický kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,28698
Pardubický kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,17810
Pardubický kraj, Stavebnictví,2007,17854
Pardubický kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,17525
Pardubický kraj, Doprava a skladování,2007,17917
Pardubický kraj," Ubytování, stravování a pohostinství",2007,10275
Pardubický kraj, Informační a komunikační činnosti,2007,25198
Pardubický kraj, Peněžnictví a pojišťovnictví,2007,30875
Pardubický kraj, Činnosti v oblasti nemovitostí,2007,16296
Pardubický kraj," Profesní, vědecké a technické činnosti",2007,21690
Pardubický kraj, Administrativní a podpůrné činnosti,2007,12173
Pardubický kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2007,21470
Pardubický kraj, Vzdělávání,2007,18584
Pardubický kraj, Zdravotní a sociální péče,2007,17469
Pardubický kraj," Kulturní, zábavní a rekreační činnosti",2007,15283
Pardubický kraj, Ostatní činnosti,2007,13496
Plzeňský kraj," Zemědělství, lesnictví, rybářství",2007,16778
Plzeňský kraj, Těžba a dobývání,2007,24231
Plzeňský kraj, Zpracovatelský průmysl,2007,20158
Plzeňský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,27817
Plzeňský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,18618
Plzeňský kraj, Stavebnictví,2007,18835
Plzeňský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,16704
Plzeňský kraj, Doprava a skladování,2007,18976
Plzeňský kraj," Ubytování, stravování a pohostinství",2007,10244
Plzeňský kraj, Informační a komunikační činnosti,2007,32149
Plzeňský kraj, Peněžnictví a pojišťovnictví,2007,29502
Plzeňský kraj, Činnosti v oblasti nemovitostí,2007,16899
Plzeňský kraj," Profesní, vědecké a technické činnosti",2007,20516
Plzeňský kraj, Administrativní a podpůrné činnosti,2007,13448
Plzeňský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2007,23882
Plzeňský kraj, Vzdělávání,2007,19195
Plzeňský kraj, Zdravotní a sociální péče,2007,20195
Plzeňský kraj," Kulturní, zábavní a rekreační činnosti",2007,16923
Plzeňský kraj, Ostatní činnosti,2007,13305
Praha," Zemědělství, lesnictví, rybářství",2007,14903
Praha, Těžba a dobývání,2007,21206
Praha, Zpracovatelský průmysl,2007,24952
Praha," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,44202
Praha," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,24842
Praha, Stavebnictví,2007,23981
Praha, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,25810
Praha, Doprava a skladování,2007,25624
Praha," Ubytování, stravování a pohostinství",2007,14287
Praha, Informační a komunikační činnosti,2007,45211
Praha, Peněžnictví a pojišťovnictví,2007,49766
Praha, Činnosti v oblasti nemovitostí,2007,23156
Praha," Profesní, vědecké a technické činnosti",2007,31027
Praha, Administrativní a podpůrné činnosti,2007,15830
Praha, Veřejná správa a obrana; povinné sociální zabezpečení,2007,29214
Praha, Vzdělávání,2007,21342
Praha, Zdravotní a sociální péče,2007,22163
Praha," Kulturní, zábavní a rekreační činnosti",2007,18891
Praha, Ostatní činnosti,2007,18492
Středočeský kraj," Zemědělství, lesnictví, rybářství",2007,16670
Středočeský kraj, Těžba a dobývání,2007,21072
Středočeský kraj, Zpracovatelský průmysl,2007,22482
Středočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,27873
Středočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,18543
Středočeský kraj, Stavebnictví,2007,17265
Středočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,19372
Středočeský kraj, Doprava a skladování,2007,21731
Středočeský kraj," Ubytování, stravování a pohostinství",2007,10091
Středočeský kraj, Informační a komunikační činnosti,2007,24717
Středočeský kraj, Peněžnictví a pojišťovnictví,2007,29181
Středočeský kraj, Činnosti v oblasti nemovitostí,2007,14731
Středočeský kraj," Profesní, vědecké a technické činnosti",2007,21779
Středočeský kraj, Administrativní a podpůrné činnosti,2007,11584
Středočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2007,23372
Středočeský kraj, Vzdělávání,2007,18174
Středočeský kraj, Zdravotní a sociální péče,2007,17618
Středočeský kraj," Kulturní, zábavní a rekreační činnosti",2007,15030
Středočeský kraj, Ostatní činnosti,2007,14551
Ústecký kraj," Zemědělství, lesnictví, rybářství",2007,15025
Ústecký kraj, Těžba a dobývání,2007,23291
Ústecký kraj, Zpracovatelský průmysl,2007,19572
Ústecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,28818
Ústecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,19019
Ústecký kraj, Stavebnictví,2007,17710
Ústecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,15299
Ústecký kraj, Doprava a skladování,2007,18556
Ústecký kraj," Ubytování, stravování a pohostinství",2007,9404
Ústecký kraj, Informační a komunikační činnosti,2007,26859
Ústecký kraj, Peněžnictví a pojišťovnictví,2007,28123
Ústecký kraj, Činnosti v oblasti nemovitostí,2007,15688
Ústecký kraj," Profesní, vědecké a technické činnosti",2007,19655
Ústecký kraj, Administrativní a podpůrné činnosti,2007,11464
Ústecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2007,23406
Ústecký kraj, Vzdělávání,2007,18815
Ústecký kraj, Zdravotní a sociální péče,2007,17808
Ústecký kraj," Kulturní, zábavní a rekreační činnosti",2007,15263
Ústecký kraj, Ostatní činnosti,2007,13316
Vysočina," Zemědělství, lesnictví, rybářství",2007,15429
Vysočina, Těžba a dobývání,2007,21782
Vysočina, Zpracovatelský průmysl,2007,19290
Vysočina," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,36743
Vysočina," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,18437
Vysočina, Stavebnictví,2007,17960
Vysočina, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,15883
Vysočina, Doprava a skladování,2007,18182
Vysočina," Ubytování, stravování a pohostinství",2007,9727
Vysočina, Informační a komunikační činnosti,2007,29064
Vysočina, Peněžnictví a pojišťovnictví,2007,27075
Vysočina, Činnosti v oblasti nemovitostí,2007,15405
Vysočina," Profesní, vědecké a technické činnosti",2007,18831
Vysočina, Administrativní a podpůrné činnosti,2007,11312
Vysočina, Veřejná správa a obrana; povinné sociální zabezpečení,2007,22111
Vysočina, Vzdělávání,2007,18195
Vysočina, Zdravotní a sociální péče,2007,18461
Vysočina," Kulturní, zábavní a rekreační činnosti",2007,15602
Vysočina, Ostatní činnosti,2007,14889
Zlínský kraj," Zemědělství, lesnictví, rybářství",2007,16695
Zlínský kraj, Těžba a dobývání,2007,22481
Zlínský kraj, Zpracovatelský průmysl,2007,18719
Zlínský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,20863
Zlínský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2007,17502
Zlínský kraj, Stavebnictví,2007,17273
Zlínský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,16682
Zlínský kraj, Doprava a skladování,2007,16696
Zlínský kraj," Ubytování, stravování a pohostinství",2007,9707
Zlínský kraj, Informační a komunikační činnosti,2007,25691
Zlínský kraj, Peněžnictví a pojišťovnictví,2007,28199
Zlínský kraj, Činnosti v oblasti nemovitostí,2007,15620
Zlínský kraj," Profesní, vědecké a technické činnosti",2007,22595
Zlínský kraj, Administrativní a podpůrné činnosti,2007,12045
Zlínský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2007,21420
Zlínský kraj, Vzdělávání,2007,18587
Zlínský kraj, Zdravotní a sociální péče,2007,17397
Zlínský kraj," Kulturní, zábavní a rekreační činnosti",2007,16155
Zlínský kraj, Ostatní činnosti,2007,13170
Jihočeský kraj," Zemědělství, lesnictví, rybářství",2008,17524
Jihočeský kraj, Těžba a dobývání,2008,24454
Jihočeský kraj, Zpracovatelský průmysl,2008,20100
Jihočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,34042
Jihočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,20396
Jihočeský kraj, Stavebnictví,2008,19812
Jihočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17786
Jihočeský kraj, Doprava a skladování,2008,19038
Jihočeský kraj," Ubytování, stravování a pohostinství",2008,10472
Jihočeský kraj, Informační a komunikační činnosti,2008,31537
Jihočeský kraj, Peněžnictví a pojišťovnictví,2008,31240
Jihočeský kraj, Činnosti v oblasti nemovitostí,2008,15575
Jihočeský kraj," Profesní, vědecké a technické činnosti",2008,20795
Jihočeský kraj, Administrativní a podpůrné činnosti,2008,12255
Jihočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,23065
Jihočeský kraj, Vzdělávání,2008,19345
Jihočeský kraj, Zdravotní a sociální péče,2008,19679
Jihočeský kraj," Kulturní, zábavní a rekreační činnosti",2008,17726
Jihočeský kraj, Ostatní činnosti,2008,14360
Jihomoravský kraj," Zemědělství, lesnictví, rybářství",2008,16528
Jihomoravský kraj, Těžba a dobývání,2008,28797
Jihomoravský kraj, Zpracovatelský průmysl,2008,20853
Jihomoravský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,29251
Jihomoravský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,21306
Jihomoravský kraj, Stavebnictví,2008,20995
Jihomoravský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,19056
Jihomoravský kraj, Doprava a skladování,2008,19540
Jihomoravský kraj," Ubytování, stravování a pohostinství",2008,10808
Jihomoravský kraj, Informační a komunikační činnosti,2008,34845
Jihomoravský kraj, Peněžnictví a pojišťovnictví,2008,32523
Jihomoravský kraj, Činnosti v oblasti nemovitostí,2008,19581
Jihomoravský kraj," Profesní, vědecké a technické činnosti",2008,25352
Jihomoravský kraj, Administrativní a podpůrné činnosti,2008,15104
Jihomoravský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,24837
Jihomoravský kraj, Vzdělávání,2008,21112
Jihomoravský kraj, Zdravotní a sociální péče,2008,20031
Jihomoravský kraj," Kulturní, zábavní a rekreační činnosti",2008,16088
Jihomoravský kraj, Ostatní činnosti,2008,15802
Karlovarský kraj," Zemědělství, lesnictví, rybářství",2008,16948
Karlovarský kraj, Těžba a dobývání,2008,30404
Karlovarský kraj, Zpracovatelský průmysl,2008,18112
Karlovarský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,25645
Karlovarský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,20469
Karlovarský kraj, Stavebnictví,2008,16540
Karlovarský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,16055
Karlovarský kraj, Doprava a skladování,2008,18378
Karlovarský kraj," Ubytování, stravování a pohostinství",2008,13148
Karlovarský kraj, Informační a komunikační činnosti,2008,24799
Karlovarský kraj, Peněžnictví a pojišťovnictví,2008,30771
Karlovarský kraj, Činnosti v oblasti nemovitostí,2008,15255
Karlovarský kraj," Profesní, vědecké a technické činnosti",2008,19041
Karlovarský kraj, Administrativní a podpůrné činnosti,2008,13355
Karlovarský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,24027
Karlovarský kraj, Vzdělávání,2008,18749
Karlovarský kraj, Zdravotní a sociální péče,2008,18476
Karlovarský kraj," Kulturní, zábavní a rekreační činnosti",2008,17103
Karlovarský kraj, Ostatní činnosti,2008,13475
Královéhradecký kraj," Zemědělství, lesnictví, rybářství",2008,18196
Královéhradecký kraj, Těžba a dobývání,2008,25523
Královéhradecký kraj, Zpracovatelský průmysl,2008,20388
Královéhradecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,32727
Královéhradecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,21766
Královéhradecký kraj, Stavebnictví,2008,18975
Královéhradecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17746
Královéhradecký kraj, Doprava a skladování,2008,18829
Královéhradecký kraj," Ubytování, stravování a pohostinství",2008,11206
Královéhradecký kraj, Informační a komunikační činnosti,2008,29851
Královéhradecký kraj, Peněžnictví a pojišťovnictví,2008,30386
Královéhradecký kraj, Činnosti v oblasti nemovitostí,2008,15818
Královéhradecký kraj," Profesní, vědecké a technické činnosti",2008,20825
Královéhradecký kraj, Administrativní a podpůrné činnosti,2008,13304
Královéhradecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,25349
Královéhradecký kraj, Vzdělávání,2008,19225
Královéhradecký kraj, Zdravotní a sociální péče,2008,19899
Královéhradecký kraj," Kulturní, zábavní a rekreační činnosti",2008,16720
Královéhradecký kraj, Ostatní činnosti,2008,14012
Liberecký kraj," Zemědělství, lesnictví, rybářství",2008,16516
Liberecký kraj, Těžba a dobývání,2008,26483
Liberecký kraj, Zpracovatelský průmysl,2008,21162
Liberecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,21871
Liberecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,19088
Liberecký kraj, Stavebnictví,2008,19238
Liberecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17192
Liberecký kraj, Doprava a skladování,2008,18651
Liberecký kraj," Ubytování, stravování a pohostinství",2008,10345
Liberecký kraj, Informační a komunikační činnosti,2008,27877
Liberecký kraj, Peněžnictví a pojišťovnictví,2008,30882
Liberecký kraj, Činnosti v oblasti nemovitostí,2008,13757
Liberecký kraj," Profesní, vědecké a technické činnosti",2008,23507
Liberecký kraj, Administrativní a podpůrné činnosti,2008,12526
Liberecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,22844
Liberecký kraj, Vzdělávání,2008,19078
Liberecký kraj, Zdravotní a sociální péče,2008,19439
Liberecký kraj," Kulturní, zábavní a rekreační činnosti",2008,17719
Liberecký kraj, Ostatní činnosti,2008,14200
Moravskoslezský kraj," Zemědělství, lesnictví, rybářství",2008,17262
Moravskoslezský kraj, Těžba a dobývání,2008,32998
Moravskoslezský kraj, Zpracovatelský průmysl,2008,21636
Moravskoslezský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,30424
Moravskoslezský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,19761
Moravskoslezský kraj, Stavebnictví,2008,19086
Moravskoslezský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17261
Moravskoslezský kraj, Doprava a skladování,2008,20520
Moravskoslezský kraj," Ubytování, stravování a pohostinství",2008,9843
Moravskoslezský kraj, Informační a komunikační činnosti,2008,33774
Moravskoslezský kraj, Peněžnictví a pojišťovnictví,2008,31006
Moravskoslezský kraj, Činnosti v oblasti nemovitostí,2008,18819
Moravskoslezský kraj," Profesní, vědecké a technické činnosti",2008,23248
Moravskoslezský kraj, Administrativní a podpůrné činnosti,2008,13598
Moravskoslezský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,25061
Moravskoslezský kraj, Vzdělávání,2008,20127
Moravskoslezský kraj, Zdravotní a sociální péče,2008,19441
Moravskoslezský kraj," Kulturní, zábavní a rekreační činnosti",2008,16320
Moravskoslezský kraj, Ostatní činnosti,2008,14454
Olomouckáý kraj," Zemědělství, lesnictví, rybářství",2008,17019
Olomouckáý kraj, Těžba a dobývání,2008,24291
Olomouckáý kraj, Zpracovatelský průmysl,2008,19337
Olomouckáý kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,23219
Olomouckáý kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,19109
Olomouckáý kraj, Stavebnictví,2008,22037
Olomouckáý kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17349
Olomouckáý kraj, Doprava a skladování,2008,19638
Olomouckáý kraj," Ubytování, stravování a pohostinství",2008,9671
Olomouckáý kraj, Informační a komunikační činnosti,2008,27818
Olomouckáý kraj, Peněžnictví a pojišťovnictví,2008,28923
Olomouckáý kraj, Činnosti v oblasti nemovitostí,2008,15432
Olomouckáý kraj," Profesní, vědecké a technické činnosti",2008,20261
Olomouckáý kraj, Administrativní a podpůrné činnosti,2008,12225
Olomouckáý kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,23500
Olomouckáý kraj, Vzdělávání,2008,19679
Olomouckáý kraj, Zdravotní a sociální péče,2008,19607
Olomouckáý kraj," Kulturní, zábavní a rekreační činnosti",2008,15841
Olomouckáý kraj, Ostatní činnosti,2008,14326
Pardubický kraj," Zemědělství, lesnictví, rybářství",2008,17412
Pardubický kraj, Těžba a dobývání,2008,21689
Pardubický kraj, Zpracovatelský průmysl,2008,19705
Pardubický kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,31877
Pardubický kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,18768
Pardubický kraj, Stavebnictví,2008,19631
Pardubický kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17360
Pardubický kraj, Doprava a skladování,2008,19890
Pardubický kraj," Ubytování, stravování a pohostinství",2008,10633
Pardubický kraj, Informační a komunikační činnosti,2008,27238
Pardubický kraj, Peněžnictví a pojišťovnictví,2008,36400
Pardubický kraj, Činnosti v oblasti nemovitostí,2008,18684
Pardubický kraj," Profesní, vědecké a technické činnosti",2008,22985
Pardubický kraj, Administrativní a podpůrné činnosti,2008,12435
Pardubický kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,22651
Pardubický kraj, Vzdělávání,2008,19376
Pardubický kraj, Zdravotní a sociální péče,2008,17765
Pardubický kraj," Kulturní, zábavní a rekreační činnosti",2008,16865
Pardubický kraj, Ostatní činnosti,2008,13534
Plzeňský kraj," Zemědělství, lesnictví, rybářství",2008,17713
Plzeňský kraj, Těžba a dobývání,2008,25670
Plzeňský kraj, Zpracovatelský průmysl,2008,21987
Plzeňský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,31900
Plzeňský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,20352
Plzeňský kraj, Stavebnictví,2008,19907
Plzeňský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,18070
Plzeňský kraj, Doprava a skladování,2008,20111
Plzeňský kraj," Ubytování, stravování a pohostinství",2008,10843
Plzeňský kraj, Informační a komunikační činnosti,2008,32566
Plzeňský kraj, Peněžnictví a pojišťovnictví,2008,32421
Plzeňský kraj, Činnosti v oblasti nemovitostí,2008,18522
Plzeňský kraj," Profesní, vědecké a technické činnosti",2008,22544
Plzeňský kraj, Administrativní a podpůrné činnosti,2008,13553
Plzeňský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,25519
Plzeňský kraj, Vzdělávání,2008,19690
Plzeňský kraj, Zdravotní a sociální péče,2008,22035
Plzeňský kraj," Kulturní, zábavní a rekreační činnosti",2008,17671
Plzeňský kraj, Ostatní činnosti,2008,13770
Praha," Zemědělství, lesnictví, rybářství",2008,16569
Praha, Těžba a dobývání,2008,20111
Praha, Zpracovatelský průmysl,2008,26395
Praha," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,50683
Praha," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,25042
Praha, Stavebnictví,2008,26058
Praha, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,27343
Praha, Doprava a skladování,2008,28265
Praha," Ubytování, stravování a pohostinství",2008,15028
Praha, Informační a komunikační činnosti,2008,48764
Praha, Peněžnictví a pojišťovnictví,2008,52700
Praha, Činnosti v oblasti nemovitostí,2008,22478
Praha," Profesní, vědecké a technické činnosti",2008,35514
Praha, Administrativní a podpůrné činnosti,2008,17989
Praha, Veřejná správa a obrana; povinné sociální zabezpečení,2008,29918
Praha, Vzdělávání,2008,21578
Praha, Zdravotní a sociální péče,2008,23077
Praha," Kulturní, zábavní a rekreační činnosti",2008,20346
Praha, Ostatní činnosti,2008,18749
Středočeský kraj," Zemědělství, lesnictví, rybářství",2008,18795
Středočeský kraj, Těžba a dobývání,2008,23214
Středočeský kraj, Zpracovatelský průmysl,2008,24167
Středočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,29823
Středočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,20048
Středočeský kraj, Stavebnictví,2008,19170
Středočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,21281
Středočeský kraj, Doprava a skladování,2008,22959
Středočeský kraj," Ubytování, stravování a pohostinství",2008,10607
Středočeský kraj, Informační a komunikační činnosti,2008,28299
Středočeský kraj, Peněžnictví a pojišťovnictví,2008,31065
Středočeský kraj, Činnosti v oblasti nemovitostí,2008,17013
Středočeský kraj," Profesní, vědecké a technické činnosti",2008,23953
Středočeský kraj, Administrativní a podpůrné činnosti,2008,12185
Středočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,23386
Středočeský kraj, Vzdělávání,2008,18933
Středočeský kraj, Zdravotní a sociální péče,2008,19036
Středočeský kraj," Kulturní, zábavní a rekreační činnosti",2008,16446
Středočeský kraj, Ostatní činnosti,2008,15208
Ústecký kraj," Zemědělství, lesnictví, rybářství",2008,16959
Ústecký kraj, Těžba a dobývání,2008,25451
Ústecký kraj, Zpracovatelský průmysl,2008,20737
Ústecký kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,32412
Ústecký kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,20750
Ústecký kraj, Stavebnictví,2008,19348
Ústecký kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,16153
Ústecký kraj, Doprava a skladování,2008,21583
Ústecký kraj," Ubytování, stravování a pohostinství",2008,9617
Ústecký kraj, Informační a komunikační činnosti,2008,28373
Ústecký kraj, Peněžnictví a pojišťovnictví,2008,34215
Ústecký kraj, Činnosti v oblasti nemovitostí,2008,16872
Ústecký kraj," Profesní, vědecké a technické činnosti",2008,21572
Ústecký kraj, Administrativní a podpůrné činnosti,2008,12012
Ústecký kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,24527
Ústecký kraj, Vzdělávání,2008,19172
Ústecký kraj, Zdravotní a sociální péče,2008,18462
Ústecký kraj," Kulturní, zábavní a rekreační činnosti",2008,16394
Ústecký kraj, Ostatní činnosti,2008,13074
Vysočina," Zemědělství, lesnictví, rybářství",2008,17267
Vysočina, Těžba a dobývání,2008,23783
Vysočina, Zpracovatelský průmysl,2008,20944
Vysočina," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,41040
Vysočina," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,20213
Vysočina, Stavebnictví,2008,19561
Vysočina, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,16711
Vysočina, Doprava a skladování,2008,19454
Vysočina," Ubytování, stravování a pohostinství",2008,10019
Vysočina, Informační a komunikační činnosti,2008,34936
Vysočina, Peněžnictví a pojišťovnictví,2008,29740
Vysočina, Činnosti v oblasti nemovitostí,2008,15420
Vysočina," Profesní, vědecké a technické činnosti",2008,19379
Vysočina, Administrativní a podpůrné činnosti,2008,12835
Vysočina, Veřejná správa a obrana; povinné sociální zabezpečení,2008,23512
Vysočina, Vzdělávání,2008,18977
Vysočina, Zdravotní a sociální péče,2008,19048
Vysočina," Kulturní, zábavní a rekreační činnosti",2008,16100
Vysočina, Ostatní činnosti,2008,14301
Zlínský kraj," Zemědělství, lesnictví, rybářství",2008,17852
Zlínský kraj, Těžba a dobývání,2008,25462
Zlínský kraj, Zpracovatelský průmysl,2008,20141
Zlínský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,21922
Zlínský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2008,18732
Zlínský kraj, Stavebnictví,2008,18969
Zlínský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,17948
Zlínský kraj, Doprava a skladování,2008,17304
Zlínský kraj," Ubytování, stravování a pohostinství",2008,10315
Zlínský kraj, Informační a komunikační činnosti,2008,25472
Zlínský kraj, Peněžnictví a pojišťovnictví,2008,29569
Zlínský kraj, Činnosti v oblasti nemovitostí,2008,16645
Zlínský kraj," Profesní, vědecké a technické činnosti",2008,24788
Zlínský kraj, Administrativní a podpůrné činnosti,2008,12270
Zlínský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2008,21973
Zlínský kraj, Vzdělávání,2008,19382
Zlínský kraj, Zdravotní a sociální péče,2008,17950
Zlínský kraj," Kulturní, zábavní a rekreační činnosti",2008,16740
Zlínský kraj, Ostatní činnosti,2008,13829
Jihočeský kraj," Zemědělství, lesnictví, rybářství",2009,17437
Jihočeský kraj, Těžba a dobývání,2009,26366
Jihočeský kraj, Zpracovatelský průmysl,2009,20338
Jihočeský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2009,37240
Jihočeský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2009,19627
Jihočeský kraj, Stavebnictví,2009,20836
Jihočeský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2009,17952
Jihočeský kraj, Doprava a skladování,2009,18925
Jihočeský kraj," Ubytování, stravování a pohostinství",2009,10416
Jihočeský kraj, Informační a komunikační činnosti,2009,33923
Jihočeský kraj, Peněžnictví a pojišťovnictví,2009,33774
Jihočeský kraj, Činnosti v oblasti nemovitostí,2009,16340
Jihočeský kraj," Profesní, vědecké a technické činnosti",2009,22862
Jihočeský kraj, Administrativní a podpůrné činnosti,2009,13023
Jihočeský kraj, Veřejná správa a obrana; povinné sociální zabezpečení,2009,24634
Jihočeský kraj, Vzdělávání,2009,20712
Jihočeský kraj, Zdravotní a sociální péče,2009,21234
Jihočeský kraj," Kulturní, zábavní a rekreační činnosti",2009,18322
Jihočeský kraj, Ostatní činnosti,2009,14367
Jihomoravský kraj," Zemědělství, lesnictví, rybářství",2009,16556
Jihomoravský kraj, Těžba a dobývání,2009,32851
Jihomoravský kraj, Zpracovatelský průmysl,2009,21401
Jihomoravský kraj," Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2009,30400
Jihomoravský kraj," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",2009,22971
Jihomoravský kraj, Stavebnictví,2009,22576
Jihomoravský kraj, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2009,19621
Jihomoravský kraj, Doprava a skladování,2009,19885
Jihomoravský kraj," Ubytování, stravování a pohostinství",2009,11000
