Kraj,Rok,Odvetvi,Pocet_zamestnancu
Jihomoravský kraj,1997,Těžba a dobývání,3647
Jihomoravský kraj,1997,"Ubytování, stravování a pohostinství",16988
Jihomoravský kraj,1997,Velkoobchod a maloob.; opr. mot. vozidel,65441
Jihomoravský kraj,1997,Veřejná správa a obrana; pov. soc. zabezp.,33694
Jihomoravský kraj,1997,Vzdělávání,39282
Jihomoravský kraj,1997,"Výroba a rozvod elektřiny, plynu, tepla",8138
Jihomoravský kraj,1997,Zdravotní a sociální péče,30878
Jihomoravský kraj,1997,"Zemědělství, lesnictví a rybářství",30977
Jihomoravský kraj,1997,Zpracovatelský průmysl,144403
Jihomoravský kraj,1997,Zásob. vodou; činnosti souvis. s odpady,4588
Jihomoravský kraj,1997,Činnosti v oblasti nemovitostí,3304
Jihomoravský kraj,1998,Administrativní a podpůrné činnosti,11444
Jihomoravský kraj,1998,Doprava a skladování,33221
Jihomoravský kraj,1998,Informační a komunikační činnosti,11236
Jihomoravský kraj,1998,"Kulturní, zábavní a rekreační činnosti",7035
Jihomoravský kraj,1998,Ostatní činnosti,10997
Jihomoravský kraj,1998,Peněžnictví a pojišťovnictví,10045
Jihomoravský kraj,1998,"Profesní, vědecké a technické činnosti",18052
Jihomoravský kraj,1998,Stavebnictví,56697
Jihomoravský kraj,1998,Těžba a dobývání,2886
Jihomoravský kraj,1998,"Ubytování, stravování a pohostinství",17246
Jihomoravský kraj,1998,Velkoobchod a maloob.; opr. mot. vozidel,70025
Jihomoravský kraj,1998,Veřejná správa a obrana; pov. soc. zabezp.,34229
Jihomoravský kraj,1998,Vzdělávání,37975
Jihomoravský kraj,1998,"Výroba a rozvod elektřiny, plynu, tepla",6885
Jihomoravský kraj,1998,Zdravotní a sociální péče,30020
Jihomoravský kraj,1998,"Zemědělství, lesnictví a rybářství",31040
Jihomoravský kraj,1998,Zpracovatelský průmysl,136713
Jihomoravský kraj,1998,Zásob. vodou; činnosti souvis. s odpady,4807
Jihomoravský kraj,1998,Činnosti v oblasti nemovitostí,3901
Jihomoravský kraj,1999,Administrativní a podpůrné činnosti,12461
Jihomoravský kraj,1999,Doprava a skladování,30805
Jihomoravský kraj,1999,Informační a komunikační činnosti,11746
Jihomoravský kraj,1999,"Kulturní, zábavní a rekreační činnosti",7679
Jihomoravský kraj,1999,Ostatní činnosti,10582
Jihomoravský kraj,1999,Peněžnictví a pojišťovnictví,8106
Jihomoravský kraj,1999,"Profesní, vědecké a technické činnosti",20593
Jihomoravský kraj,1999,Stavebnictví,46740
Jihomoravský kraj,1999,Těžba a dobývání,2073
Jihomoravský kraj,1999,"Ubytování, stravování a pohostinství",14773
Jihomoravský kraj,1999,Velkoobchod a maloob.; opr. mot. vozidel,67367
Jihomoravský kraj,1999,Veřejná správa a obrana; pov. soc. zabezp.,38495
Jihomoravský kraj,1999,Vzdělávání,42526
Jihomoravský kraj,1999,"Výroba a rozvod elektřiny, plynu, tepla",7217
Jihomoravský kraj,1999,Zdravotní a sociální péče,32732
Jihomoravský kraj,1999,"Zemědělství, lesnictví a rybářství",27984
Jihomoravský kraj,1999,Zpracovatelský průmysl,135218
Jihomoravský kraj,1999,Zásob. vodou; činnosti souvis. s odpady,4938
Jihomoravský kraj,1999,Činnosti v oblasti nemovitostí,2800
Jihomoravský kraj,2000,Administrativní a podpůrné činnosti,11653
Jihomoravský kraj,2000,Doprava a skladování,27132
Jihomoravský kraj,2000,Informační a komunikační činnosti,11033
Jihomoravský kraj,2000,"Kulturní, zábavní a rekreační činnosti",5955
Jihomoravský kraj,2000,Ostatní činnosti,10918
Jihomoravský kraj,2000,Peněžnictví a pojišťovnictví,10565
Jihomoravský kraj,2000,"Profesní, vědecké a technické činnosti",19869
Jihomoravský kraj,2000,Stavebnictví,52049
Jihomoravský kraj,2000,Těžba a dobývání,2725
Jihomoravský kraj,2000,"Ubytování, stravování a pohostinství",13819
Jihomoravský kraj,2000,Velkoobchod a maloob.; opr. mot. vozidel,65071
Jihomoravský kraj,2000,Veřejná správa a obrana; pov. soc. zabezp.,37962
Jihomoravský kraj,2000,Vzdělávání,42212
Jihomoravský kraj,2000,"Výroba a rozvod elektřiny, plynu, tepla",6035
Jihomoravský kraj,2000,Zdravotní a sociální péče,32150
Jihomoravský kraj,2000,"Zemědělství, lesnictví a rybářství",27851
Jihomoravský kraj,2000,Zpracovatelský průmysl,136883
Jihomoravský kraj,2000,Zásob. vodou; činnosti souvis. s odpady,4139
Jihomoravský kraj,2000,Činnosti v oblasti nemovitostí,2005
Jihomoravský kraj,2001,Administrativní a podpůrné činnosti,10293
Jihomoravský kraj,2001,Doprava a skladování,29989
Jihomoravský kraj,2001,Informační a komunikační činnosti,10919
Jihomoravský kraj,2001,"Kulturní, zábavní a rekreační činnosti",5902
Jihomoravský kraj,2001,Ostatní činnosti,12445
Jihomoravský kraj,2001,Peněžnictví a pojišťovnictví,9787
Jihomoravský kraj,2001,"Profesní, vědecké a technické činnosti",18514
Jihomoravský kraj,2001,Stavebnictví,49125
Jihomoravský kraj,2001,Těžba a dobývání,2316
Jihomoravský kraj,2001,"Ubytování, stravování a pohostinství",13516
Jihomoravský kraj,2001,Velkoobchod a maloob.; opr. mot. vozidel,68527
Jihomoravský kraj,2001,Veřejná správa a obrana; pov. soc. zabezp.,37788
Jihomoravský kraj,2001,Vzdělávání,39210
Jihomoravský kraj,2001,"Výroba a rozvod elektřiny, plynu, tepla",5939
Jihomoravský kraj,2001,Zdravotní a sociální péče,30345
Jihomoravský kraj,2001,"Zemědělství, lesnictví a rybářství",22999
Jihomoravský kraj,2001,Zpracovatelský průmysl,134106
Jihomoravský kraj,2001,Zásob. vodou; činnosti souvis. s odpady,3443
Jihomoravský kraj,2001,Činnosti v oblasti nemovitostí,2024
Jihomoravský kraj,2002,Administrativní a podpůrné činnosti,10469
Jihomoravský kraj,2002,Doprava a skladování,31220
Jihomoravský kraj,2002,Informační a komunikační činnosti,11406
Jihomoravský kraj,2002,"Kulturní, zábavní a rekreační činnosti",7343
Jihomoravský kraj,2002,Ostatní činnosti,10464
Jihomoravský kraj,2002,Peněžnictví a pojišťovnictví,7608
Jihomoravský kraj,2002,"Profesní, vědecké a technické činnosti",16525
Jihomoravský kraj,2002,Stavebnictví,46928
Jihomoravský kraj,2002,Těžba a dobývání,1609
Jihomoravský kraj,2002,"Ubytování, stravování a pohostinství",14729
Jihomoravský kraj,2002,Velkoobchod a maloob.; opr. mot. vozidel,74132
Jihomoravský kraj,2002,Veřejná správa a obrana; pov. soc. zabezp.,32243
Jihomoravský kraj,2002,Vzdělávání,41573
Jihomoravský kraj,2002,"Výroba a rozvod elektřiny, plynu, tepla",6039
Jihomoravský kraj,2002,Zdravotní a sociální péče,32117
Jihomoravský kraj,2002,"Zemědělství, lesnictví a rybářství",24650
Jihomoravský kraj,2002,Zpracovatelský průmysl,130921
Jihomoravský kraj,2002,Zásob. vodou; činnosti souvis. s odpady,4459
Jihomoravský kraj,2002,Činnosti v oblasti nemovitostí,4182
Jihomoravský kraj,2003,Administrativní a podpůrné činnosti,11316
Jihomoravský kraj,2003,Doprava a skladování,32804
Jihomoravský kraj,2003,Informační a komunikační činnosti,12862
Jihomoravský kraj,2003,"Kulturní, zábavní a rekreační činnosti",8228
Jihomoravský kraj,2003,Ostatní činnosti,9519
Jihomoravský kraj,2003,Peněžnictví a pojišťovnictví,8322
Jihomoravský kraj,2003,"Profesní, vědecké a technické činnosti",18457
Jihomoravský kraj,2003,Stavebnictví,51499
Jihomoravský kraj,2003,Těžba a dobývání,1613
Jihomoravský kraj,2003,"Ubytování, stravování a pohostinství",13641
Jihomoravský kraj,2003,Velkoobchod a maloob.; opr. mot. vozidel,65954
Jihomoravský kraj,2003,Veřejná správa a obrana; pov. soc. zabezp.,33393
Jihomoravský kraj,2003,Vzdělávání,36985
Jihomoravský kraj,2003,"Výroba a rozvod elektřiny, plynu, tepla",6786
Jihomoravský kraj,2003,Zdravotní a sociální péče,31742
Jihomoravský kraj,2003,"Zemědělství, lesnictví a rybářství",22734
Jihomoravský kraj,2003,Zpracovatelský průmysl,134202
Jihomoravský kraj,2003,Zásob. vodou; činnosti souvis. s odpady,3972
Jihomoravský kraj,2003,Činnosti v oblasti nemovitostí,4108
Jihomoravský kraj,2004,Administrativní a podpůrné činnosti,12057
Jihomoravský kraj,2004,Doprava a skladování,32894
Jihomoravský kraj,2004,Informační a komunikační činnosti,12676
Jihomoravský kraj,2004,"Kulturní, zábavní a rekreační činnosti",8029
Jihomoravský kraj,2004,Ostatní činnosti,10917
Jihomoravský kraj,2004,Peněžnictví a pojišťovnictví,10780
