Kraj,Rok,Odvetvi,Pocet_zamestnancu
Královehradecký kraj,2002,Těžba a dobývání,0
Královehradecký kraj,2002,"Ubytování, stravování a pohostinství",7097
Královehradecký kraj,2002,Velkoobchod a maloob.; opr. mot. vozidel,34201
Královehradecký kraj,2002,Veřejná správa a obrana; pov. soc. zabezp.,17244
Královehradecký kraj,2002,Vzdělávání,16611
Královehradecký kraj,2002,"Výroba a rozvod elektřiny, plynu, tepla",3754
Královehradecký kraj,2002,Zdravotní a sociální péče,15048
Královehradecký kraj,2002,"Zemědělství, lesnictví a rybářství",14087
Královehradecký kraj,2002,Zpracovatelský průmysl,85326
Královehradecký kraj,2002,Zásob. vodou; činnosti souvis. s odpady,3237
Královehradecký kraj,2002,Činnosti v oblasti nemovitostí,0
Královehradecký kraj,2003,Administrativní a podpůrné činnosti,5563
Královehradecký kraj,2003,Doprava a skladování,12530
Královehradecký kraj,2003,Informační a komunikační činnosti,5124
Královehradecký kraj,2003,"Kulturní, zábavní a rekreační činnosti",3932
Královehradecký kraj,2003,Ostatní činnosti,4361
Královehradecký kraj,2003,Peněžnictví a pojišťovnictví,3770
Královehradecký kraj,2003,"Profesní, vědecké a technické činnosti",7209
Královehradecký kraj,2003,Stavebnictví,23720
Královehradecký kraj,2003,Těžba a dobývání,0
Královehradecký kraj,2003,"Ubytování, stravování a pohostinství",8825
Královehradecký kraj,2003,Velkoobchod a maloob.; opr. mot. vozidel,39010
Královehradecký kraj,2003,Veřejná správa a obrana; pov. soc. zabezp.,20887
Královehradecký kraj,2003,Vzdělávání,17089
Královehradecký kraj,2003,"Výroba a rozvod elektřiny, plynu, tepla",1593
Královehradecký kraj,2003,Zdravotní a sociální péče,14817
Královehradecký kraj,2003,"Zemědělství, lesnictví a rybářství",13492
Královehradecký kraj,2003,Zpracovatelský průmysl,70590
Královehradecký kraj,2003,Zásob. vodou; činnosti souvis. s odpady,2379
Královehradecký kraj,2003,Činnosti v oblasti nemovitostí,561
Královehradecký kraj,2004,Administrativní a podpůrné činnosti,4192
Královehradecký kraj,2004,Doprava a skladování,14694
Královehradecký kraj,2004,Informační a komunikační činnosti,5162
Královehradecký kraj,2004,"Kulturní, zábavní a rekreační činnosti",3540
Královehradecký kraj,2004,Ostatní činnosti,3564
Královehradecký kraj,2004,Peněžnictví a pojišťovnictví,3278
Královehradecký kraj,2004,"Profesní, vědecké a technické činnosti",5281
Královehradecký kraj,2004,Stavebnictví,23313
Královehradecký kraj,2004,Těžba a dobývání,0
Královehradecký kraj,2004,"Ubytování, stravování a pohostinství",8764
Královehradecký kraj,2004,Velkoobchod a maloob.; opr. mot. vozidel,32885
Královehradecký kraj,2004,Veřejná správa a obrana; pov. soc. zabezp.,21538
Královehradecký kraj,2004,Vzdělávání,15376
Královehradecký kraj,2004,"Výroba a rozvod elektřiny, plynu, tepla",1502
Královehradecký kraj,2004,Zdravotní a sociální péče,18113
Královehradecký kraj,2004,"Zemědělství, lesnictví a rybářství",14567
Královehradecký kraj,2004,Zpracovatelský průmysl,72413
Královehradecký kraj,2004,Zásob. vodou; činnosti souvis. s odpady,753
Královehradecký kraj,2004,Činnosti v oblasti nemovitostí,1189
Královehradecký kraj,2005,Administrativní a podpůrné činnosti,4798
Královehradecký kraj,2005,Doprava a skladování,13341
Královehradecký kraj,2005,Informační a komunikační činnosti,4922
Královehradecký kraj,2005,"Kulturní, zábavní a rekreační činnosti",3382
Královehradecký kraj,2005,Ostatní činnosti,3341
Královehradecký kraj,2005,Peněžnictví a pojišťovnictví,6242
Královehradecký kraj,2005,"Profesní, vědecké a technické činnosti",6019
Královehradecký kraj,2005,Stavebnictví,25824
Královehradecký kraj,2005,Těžba a dobývání,579
Královehradecký kraj,2005,"Ubytování, stravování a pohostinství",10162
Královehradecký kraj,2005,Velkoobchod a maloob.; opr. mot. vozidel,30255
Královehradecký kraj,2005,Veřejná správa a obrana; pov. soc. zabezp.,19748
Královehradecký kraj,2005,Vzdělávání,14633
Královehradecký kraj,2005,"Výroba a rozvod elektřiny, plynu, tepla",2436
Královehradecký kraj,2005,Zdravotní a sociální péče,16336
Královehradecký kraj,2005,"Zemědělství, lesnictví a rybářství",12012
Královehradecký kraj,2005,Zpracovatelský průmysl,78899
Královehradecký kraj,2005,Zásob. vodou; činnosti souvis. s odpady,2475
Královehradecký kraj,2005,Činnosti v oblasti nemovitostí,570
Královehradecký kraj,2006,Administrativní a podpůrné činnosti,5129
Královehradecký kraj,2006,Doprava a skladování,13062
Královehradecký kraj,2006,Informační a komunikační činnosti,5247
Královehradecký kraj,2006,"Kulturní, zábavní a rekreační činnosti",3423
Královehradecký kraj,2006,Ostatní činnosti,5014
Královehradecký kraj,2006,Peněžnictví a pojišťovnictví,5217
Královehradecký kraj,2006,"Profesní, vědecké a technické činnosti",7327
Královehradecký kraj,2006,Stavebnictví,21101
Královehradecký kraj,2006,Těžba a dobývání,701
Královehradecký kraj,2006,"Ubytování, stravování a pohostinství",10129
Královehradecký kraj,2006,Velkoobchod a maloob.; opr. mot. vozidel,33983
Královehradecký kraj,2006,Veřejná správa a obrana; pov. soc. zabezp.,17459
Královehradecký kraj,2006,Vzdělávání,16678
Královehradecký kraj,2006,"Výroba a rozvod elektřiny, plynu, tepla",2246
Královehradecký kraj,2006,Zdravotní a sociální péče,19893
Královehradecký kraj,2006,"Zemědělství, lesnictví a rybářství",9830
Královehradecký kraj,2006,Zpracovatelský průmysl,81446
Královehradecký kraj,2006,Zásob. vodou; činnosti souvis. s odpady,3548
Královehradecký kraj,2006,Činnosti v oblasti nemovitostí,0
Královehradecký kraj,2007,Administrativní a podpůrné činnosti,5435
Královehradecký kraj,2007,Doprava a skladování,16940
Královehradecký kraj,2007,Informační a komunikační činnosti,4998
Královehradecký kraj,2007,"Kulturní, zábavní a rekreační činnosti",3721
Královehradecký kraj,2007,Ostatní činnosti,5212
Královehradecký kraj,2007,Peněžnictví a pojišťovnictví,5629
Královehradecký kraj,2007,"Profesní, vědecké a technické činnosti",7790
Královehradecký kraj,2007,Stavebnictví,18496
Královehradecký kraj,2007,Těžba a dobývání,565
Královehradecký kraj,2007,"Ubytování, stravování a pohostinství",7894
Královehradecký kraj,2007,Velkoobchod a maloob.; opr. mot. vozidel,30731
Královehradecký kraj,2007,Veřejná správa a obrana; pov. soc. zabezp.,16579
Královehradecký kraj,2007,Vzdělávání,15223
Královehradecký kraj,2007,"Výroba a rozvod elektřiny, plynu, tepla",2449
Královehradecký kraj,2007,Zdravotní a sociální péče,17711
Královehradecký kraj,2007,"Zemědělství, lesnictví a rybářství",10592
Královehradecký kraj,2007,Zpracovatelský průmysl,89871
Královehradecký kraj,2007,Zásob. vodou; činnosti souvis. s odpady,3405
Královehradecký kraj,2007,Činnosti v oblasti nemovitostí,612
Královehradecký kraj,2008,Administrativní a podpůrné činnosti,4530
Královehradecký kraj,2008,Doprava a skladování,13887
Královehradecký kraj,2008,Informační a komunikační činnosti,4015
Královehradecký kraj,2008,"Kulturní, zábavní a rekreační činnosti",3854
Královehradecký kraj,2008,Ostatní činnosti,4923
Královehradecký kraj,2008,Peněžnictví a pojišťovnictví,5865
Královehradecký kraj,2008,"Profesní, vědecké a technické činnosti",7942
Královehradecký kraj,2008,Stavebnictví,21481
Královehradecký kraj,2008,Těžba a dobývání,1251
Královehradecký kraj,2008,"Ubytování, stravování a pohostinství",6667
Královehradecký kraj,2008,Velkoobchod a maloob.; opr. mot. vozidel,30590
Královehradecký kraj,2008,Veřejná správa a obrana; pov. soc. zabezp.,16774
Královehradecký kraj,2008,Vzdělávání,16188
Královehradecký kraj,2008,"Výroba a rozvod elektřiny, plynu, tepla",1867
Královehradecký kraj,2008,Zdravotní a sociální péče,17534
Královehradecký kraj,2008,"Zemědělství, lesnictví a rybářství",10013
Královehradecký kraj,2008,Zpracovatelský průmysl,93399
Královehradecký kraj,2008,Zásob. vodou; činnosti souvis. s odpady,2425
Královehradecký kraj,2008,Činnosti v oblasti nemovitostí,1458
Královehradecký kraj,2009,Administrativní a podpůrné činnosti,4545
Královehradecký kraj,2009,Doprava a skladování,15186
Královehradecký kraj,2009,Informační a komunikační činnosti,3994
Královehradecký kraj,2009,"Kulturní, zábavní a rekreační činnosti",2860
Královehradecký kraj,2009,Ostatní činnosti,3464
Královehradecký kraj,2009,Peněžnictví a pojišťovnictví,6023
Královehradecký kraj,2009,"Profesní, vědecké a technické činnosti",8393
Královehradecký kraj,2009,Stavebnictví,25452
Královehradecký kraj,2009,Těžba a dobývání,1023
Královehradecký kraj,2009,"Ubytování, stravování a pohostinství",9180
Královehradecký kraj,2009,Velkoobchod a maloob.; opr. mot. vozidel,30015
Královehradecký kraj,2009,Veřejná správa a obrana; pov. soc. zabezp.,13777
Královehradecký kraj,2009,Vzdělávání,18321
Královehradecký kraj,2009,"Výroba a rozvod elektřiny, plynu, tepla",938
Královehradecký kraj,2009,Zdravotní a sociální péče,20141
Královehradecký kraj,2009,"Zemědělství, lesnictví a rybářství",10263
Královehradecký kraj,2009,Zpracovatelský průmysl,74503
Královehradecký kraj,2009,Zásob. vodou; činnosti souvis. s odpady,3972
Královehradecký kraj,2009,Činnosti v oblasti nemovitostí,1059
Královehradecký kraj,2010,Administrativní a podpůrné činnosti,3141
Královehradecký kraj,2010,Doprava a skladování,14769
Královehradecký kraj,2010,Informační a komunikační činnosti,4528
Královehradecký kraj,2010,"Kulturní, zábavní a rekreační činnosti",3803
Královehradecký kraj,2010,Ostatní činnosti,3635
Královehradecký kraj,2010,Peněžnictví a pojišťovnictví,4510
Královehradecký kraj,2010,"Profesní, vědecké a technické činnosti",8798
Královehradecký kraj,2010,Stavebnictví,22383
Královehradecký kraj,2010,Těžba a dobývání,0
Královehradecký kraj,2010,"Ubytování, stravování a pohostinství",9881
Královehradecký kraj,2010,Velkoobchod a maloob.; opr. mot. vozidel,31275
Královehradecký kraj,2010,Veřejná správa a obrana; pov. soc. zabezp.,16543
Královehradecký kraj,2010,Vzdělávání,18052
Královehradecký kraj,2010,"Výroba a rozvod elektřiny, plynu, tepla",1269
Královehradecký kraj,2010,Zdravotní a sociální péče,19147
Královehradecký kraj,2010,"Zemědělství, lesnictví a rybářství",8797
Královehradecký kraj,2010,Zpracovatelský průmysl,77029
Královehradecký kraj,2010,Zásob. vodou; činnosti souvis. s odpady,3143
Královehradecký kraj,2010,Činnosti v oblasti nemovitostí,1408
Královehradecký kraj,2011,Administrativní a podpůrné činnosti,2529
Královehradecký kraj,2011,Doprava a skladování,16740
Královehradecký kraj,2011,Informační a komunikační činnosti,5640
Královehradecký kraj,2011,"Kulturní, zábavní a rekreační činnosti",4111
Královehradecký kraj,2011,Ostatní činnosti,3729
Královehradecký kraj,2011,Peněžnictví a pojišťovnictví,4405
Královehradecký kraj,2011,"Profesní, vědecké a technické činnosti",8902
Královehradecký kraj,2011,Stavebnictví,22187
Královehradecký kraj,2011,Těžba a dobývání,0
Královehradecký kraj,2011,"Ubytování, stravování a pohostinství",9967
Královehradecký kraj,2011,Velkoobchod a maloob.; opr. mot. vozidel,27510
Královehradecký kraj,2011,Veřejná správa a obrana; pov. soc. zabezp.,15926
Královehradecký kraj,2011,Vzdělávání,17665
Královehradecký kraj,2011,"Výroba a rozvod elektřiny, plynu, tepla",1786
Královehradecký kraj,2011,Zdravotní a sociální péče,18670
Královehradecký kraj,2011,"Zemědělství, lesnictví a rybářství",10700
Královehradecký kraj,2011,Zpracovatelský průmysl,75683
Královehradecký kraj,2011,Zásob. vodou; činnosti souvis. s odpady,3267
Královehradecký kraj,2011,Činnosti v oblasti nemovitostí,1228
Královehradecký kraj,2012,Administrativní a podpůrné činnosti,2861
Královehradecký kraj,2012,Doprava a skladování,14972
Královehradecký kraj,2012,Informační a komunikační činnosti,5214
Královehradecký kraj,2012,"Kulturní, zábavní a rekreační činnosti",3487
Královehradecký kraj,2012,Ostatní činnosti,2774
Královehradecký kraj,2012,Peněžnictví a pojišťovnictví,5208
Královehradecký kraj,2012,"Profesní, vědecké a technické činnosti",8880
Královehradecký kraj,2012,Stavebnictví,18541
Královehradecký kraj,2012,Těžba a dobývání,639
Královehradecký kraj,2012,"Ubytování, stravování a pohostinství",9905
Královehradecký kraj,2012,Velkoobchod a maloob.; opr. mot. vozidel,30842
Královehradecký kraj,2012,Veřejná správa a obrana; pov. soc. zabezp.,16544
Královehradecký kraj,2012,Vzdělávání,14880
Královehradecký kraj,2012,"Výroba a rozvod elektřiny, plynu, tepla",2068
Královehradecký kraj,2012,Zdravotní a sociální péče,19939
Královehradecký kraj,2012,"Zemědělství, lesnictví a rybářství",10265
Královehradecký kraj,2012,Zpracovatelský průmysl,78866
Královehradecký kraj,2012,Zásob. vodou; činnosti souvis. s odpady,2531
Královehradecký kraj,2012,Činnosti v oblasti nemovitostí,2300
Královehradecký kraj,2013,Administrativní a podpůrné činnosti,3812
Královehradecký kraj,2013,Doprava a skladování,13376
Královehradecký kraj,2013,Informační a komunikační činnosti,5608
Královehradecký kraj,2013,"Kulturní, zábavní a rekreační činnosti",4331
Královehradecký kraj,2013,Ostatní činnosti,2390
Královehradecký kraj,2013,Peněžnictví a pojišťovnictví,6486
Královehradecký kraj,2013,"Profesní, vědecké a technické činnosti",8602
Královehradecký kraj,2013,Stavebnictví,17034
Královehradecký kraj,2013,Těžba a dobývání,1313
Královehradecký kraj,2013,"Ubytování, stravování a pohostinství",6790
Královehradecký kraj,2013,Velkoobchod a maloob.; opr. mot. vozidel,30302
Královehradecký kraj,2013,Veřejná správa a obrana; pov. soc. zabezp.,18255
Královehradecký kraj,2013,Vzdělávání,15862
Královehradecký kraj,2013,"Výroba a rozvod elektřiny, plynu, tepla",2630
Královehradecký kraj,2013,Zdravotní a sociální péče,19732
Královehradecký kraj,2013,"Zemědělství, lesnictví a rybářství",10711
Královehradecký kraj,2013,Zpracovatelský průmysl,78976
Královehradecký kraj,2013,Zásob. vodou; činnosti souvis. s odpady,2014
Královehradecký kraj,2013,Činnosti v oblasti nemovitostí,1879
Královehradecký kraj,2014,Administrativní a podpůrné činnosti,3697
Královehradecký kraj,2014,Doprava a skladování,12630
Královehradecký kraj,2014,Informační a komunikační činnosti,5060
Královehradecký kraj,2014,"Kulturní, zábavní a rekreační činnosti",3644
Královehradecký kraj,2014,Ostatní činnosti,2633
Královehradecký kraj,2014,Peněžnictví a pojišťovnictví,6766
Královehradecký kraj,2014,"Profesní, vědecké a technické činnosti",8810
Královehradecký kraj,2014,Stavebnictví,18322
Královehradecký kraj,2014,Těžba a dobývání,0
Královehradecký kraj,2014,"Ubytování, stravování a pohostinství",7677
Královehradecký kraj,2014,Velkoobchod a maloob.; opr. mot. vozidel,31835
Královehradecký kraj,2014,Veřejná správa a obrana; pov. soc. zabezp.,18398
Královehradecký kraj,2014,Vzdělávání,15307
Královehradecký kraj,2014,"Výroba a rozvod elektřiny, plynu, tepla",2079
Královehradecký kraj,2014,Zdravotní a sociální péče,19117
Královehradecký kraj,2014,"Zemědělství, lesnictví a rybářství",10358
Královehradecký kraj,2014,Zpracovatelský průmysl,82705
Královehradecký kraj,2014,Zásob. vodou; činnosti souvis. s odpady,4204
Královehradecký kraj,2014,Činnosti v oblasti nemovitostí,816
Královehradecký kraj,2015,Administrativní a podpůrné činnosti,5621
Královehradecký kraj,2015,Doprava a skladování,12881
Královehradecký kraj,2015,Informační a komunikační činnosti,5231
Královehradecký kraj,2015,"Kulturní, zábavní a rekreační činnosti",4048
Královehradecký kraj,2015,Ostatní činnosti,2901
Královehradecký kraj,2015,Peněžnictví a pojišťovnictví,4603
Královehradecký kraj,2015,"Profesní, vědecké a technické činnosti",8804
Královehradecký kraj,2015,Stavebnictví,18735
Královehradecký kraj,2015,Těžba a dobývání,609
Královehradecký kraj,2015,"Ubytování, stravování a pohostinství",8112
Královehradecký kraj,2015,Velkoobchod a maloob.; opr. mot. vozidel,30755
Královehradecký kraj,2015,Veřejná správa a obrana; pov. soc. zabezp.,17467
Královehradecký kraj,2015,Vzdělávání,15479
Královehradecký kraj,2015,"Výroba a rozvod elektřiny, plynu, tepla",1514
Královehradecký kraj,2015,Zdravotní a sociální péče,18768
Královehradecký kraj,2015,"Zemědělství, lesnictví a rybářství",9399
Královehradecký kraj,2015,Zpracovatelský průmysl,87231
Královehradecký kraj,2015,Zásob. vodou; činnosti souvis. s odpady,3202
Královehradecký kraj,2015,Činnosti v oblasti nemovitostí,1425
Královehradecký kraj,2016,Administrativní a podpůrné činnosti,5730
Královehradecký kraj,2016,Doprava a skladování,13576
Královehradecký kraj,2016,Informační a komunikační činnosti,4466
Královehradecký kraj,2016,"Kulturní, zábavní a rekreační činnosti",2919
Královehradecký kraj,2016,Ostatní činnosti,4377
Královehradecký kraj,2016,Peněžnictví a pojišťovnictví,5149
Královehradecký kraj,2016,"Profesní, vědecké a technické činnosti",11244
Královehradecký kraj,2016,Stavebnictví,15708
Královehradecký kraj,2016,Těžba a dobývání,0
Královehradecký kraj,2016,"Ubytování, stravování a pohostinství",7949
Královehradecký kraj,2016,Velkoobchod a maloob.; opr. mot. vozidel,31289
Královehradecký kraj,2016,Veřejná správa a obrana; pov. soc. zabezp.,16544
Královehradecký kraj,2016,Vzdělávání,16121
Královehradecký kraj,2016,"Výroba a rozvod elektřiny, plynu, tepla",3659
Královehradecký kraj,2016,Zdravotní a sociální péče,21278
Královehradecký kraj,2016,"Zemědělství, lesnictví a rybářství",10970
Královehradecký kraj,2016,Zpracovatelský průmysl,86025
Královehradecký kraj,2016,Zásob. vodou; činnosti souvis. s odpady,2548
Královehradecký kraj,2016,Činnosti v oblasti nemovitostí,1961
Královehradecký kraj,2017,Administrativní a podpůrné činnosti,5475
Královehradecký kraj,2017,Doprava a skladování,13934
Královehradecký kraj,2017,Informační a komunikační činnosti,5822
Královehradecký kraj,2017,"Kulturní, zábavní a rekreační činnosti",3181
Královehradecký kraj,2017,Ostatní činnosti,4391
Královehradecký kraj,2017,Peněžnictví a pojišťovnictví,5716
Královehradecký kraj,2017,"Profesní, vědecké a technické činnosti",10693
Královehradecký kraj,2017,Stavebnictví,17517
Královehradecký kraj,2017,Těžba a dobývání,590
Královehradecký kraj,2017,"Ubytování, stravování a pohostinství",8191
Královehradecký kraj,2017,Velkoobchod a maloob.; opr. mot. vozidel,33420
Královehradecký kraj,2017,Veřejná správa a obrana; pov. soc. zabezp.,19727
Královehradecký kraj,2017,Vzdělávání,17837
Královehradecký kraj,2017,"Výroba a rozvod elektřiny, plynu, tepla",1275
Královehradecký kraj,2017,Zdravotní a sociální péče,19478
Královehradecký kraj,2017,"Zemědělství, lesnictví a rybářství",10992
Královehradecký kraj,2017,Zpracovatelský průmysl,84807
Královehradecký kraj,2017,Zásob. vodou; činnosti souvis. s odpady,3219
Královehradecký kraj,2017,Činnosti v oblasti nemovitostí,2771
Královehradecký kraj,2018,Administrativní a podpůrné činnosti,5911
Královehradecký kraj,2018,Doprava a skladování,11907
Královehradecký kraj,2018,Informační a komunikační činnosti,7252
Královehradecký kraj,2018,"Kulturní, zábavní a rekreační činnosti",4650
Královehradecký kraj,2018,Ostatní činnosti,5452
Královehradecký kraj,2018,Peněžnictví a pojišťovnictví,4895
Královehradecký kraj,2018,"Profesní, vědecké a technické činnosti",11044
Královehradecký kraj,2018,Stavebnictví,17153
Královehradecký kraj,2018,Těžba a dobývání,0
Královehradecký kraj,2018,"Ubytování, stravování a pohostinství",8149
Královehradecký kraj,2018,Velkoobchod a maloob.; opr. mot. vozidel,30456
Královehradecký kraj,2018,Veřejná správa a obrana; pov. soc. zabezp.,15384
Královehradecký kraj,2018,Vzdělávání,19495
Královehradecký kraj,2018,"Výroba a rozvod elektřiny, plynu, tepla",2074
Královehradecký kraj,2018,Zdravotní a sociální péče,21699
Královehradecký kraj,2018,"Zemědělství, lesnictví a rybářství",12567
Královehradecký kraj,2018,Zpracovatelský průmysl,86311
Královehradecký kraj,2018,Zásob. vodou; činnosti souvis. s odpady,2679
Královehradecký kraj,2018,Činnosti v oblasti nemovitostí,1260
Královehradecký kraj,2019,Administrativní a podpůrné činnosti,6570
Královehradecký kraj,2019,Doprava a skladování,13803
Královehradecký kraj,2019,Informační a komunikační činnosti,6745
Královehradecký kraj,2019,"Kulturní, zábavní a rekreační činnosti",6969
Královehradecký kraj,2019,Ostatní činnosti,3754
Královehradecký kraj,2019,Peněžnictví a pojišťovnictví,4605
Královehradecký kraj,2019,"Profesní, vědecké a technické činnosti",11280
Královehradecký kraj,2019,Stavebnictví,14700
Královehradecký kraj,2019,Těžba a dobývání,0
Královehradecký kraj,2019,"Ubytování, stravování a pohostinství",9520
Královehradecký kraj,2019,Velkoobchod a maloob.; opr. mot. vozidel,29543
Královehradecký kraj,2019,Veřejná správa a obrana; pov. soc. zabezp.,18019
Královehradecký kraj,2019,Vzdělávání,18136
Královehradecký kraj,2019,"Výroba a rozvod elektřiny, plynu, tepla",1655
Královehradecký kraj,2019,Zdravotní a sociální péče,25010
Královehradecký kraj,2019,"Zemědělství, lesnictví a rybářství",8224
Královehradecký kraj,2019,Zpracovatelský průmysl,87602
Královehradecký kraj,2019,Zásob. vodou; činnosti souvis. s odpady,3273
Královehradecký kraj,2019,Činnosti v oblasti nemovitostí,837
Královehradecký kraj,2020,Administrativní a podpůrné činnosti,6503
Královehradecký kraj,2020,Doprava a skladování,13953
Královehradecký kraj,2020,Informační a komunikační činnosti,5598
Královehradecký kraj,2020,"Kulturní, zábavní a rekreační činnosti",4835
Královehradecký kraj,2020,Ostatní činnosti,3671
Královehradecký kraj,2020,Peněžnictví a pojišťovnictví,6025
Královehradecký kraj,2020,"Profesní, vědecké a technické činnosti",12337
Královehradecký kraj,2020,Stavebnictví,18466
Královehradecký kraj,2020,Těžba a dobývání,0
Královehradecký kraj,2020,"Ubytování, stravování a pohostinství",9146
Královehradecký kraj,2020,Velkoobchod a maloob.; opr. mot. vozidel,30087
Královehradecký kraj,2020,Veřejná správa a obrana; pov. soc. zabezp.,17755
Královehradecký kraj,2020,Vzdělávání,16679
Královehradecký kraj,2020,"Výroba a rozvod elektřiny, plynu, tepla",1674
Královehradecký kraj,2020,Zdravotní a sociální péče,23999
Královehradecký kraj,2020,"Zemědělství, lesnictví a rybářství",8608
Královehradecký kraj,2020,Zpracovatelský průmysl,80558
Královehradecký kraj,2020,Zásob. vodou; činnosti souvis. s odpady,2196
Královehradecký kraj,2020,Činnosti v oblasti nemovitostí,1336
Královehradecký kraj,2021,Administrativní a podpůrné činnosti,5703
Královehradecký kraj,2021,Doprava a skladování,11937
Královehradecký kraj,2021,Informační a komunikační činnosti,6380
Královehradecký kraj,2021,"Kulturní, zábavní a rekreační činnosti",4721
Královehradecký kraj,2021,Ostatní činnosti,4048
Královehradecký kraj,2021,Peněžnictví a pojišťovnictví,9178
Královehradecký kraj,2021,"Profesní, vědecké a technické činnosti",9482
Královehradecký kraj,2021,Stavebnictví,16848
Královehradecký kraj,2021,Těžba a dobývání,0
Královehradecký kraj,2021,"Ubytování, stravování a pohostinství",7613
Královehradecký kraj,2021,Velkoobchod a maloob.; opr. mot. vozidel,31741
Královehradecký kraj,2021,Veřejná správa a obrana; pov. soc. zabezp.,16589
Královehradecký kraj,2021,Vzdělávání,19375
Královehradecký kraj,2021,"Výroba a rozvod elektřiny, plynu, tepla",1080
Královehradecký kraj,2021,Zdravotní a sociální péče,20578
Královehradecký kraj,2021,"Zemědělství, lesnictví a rybářství",10345
Královehradecký kraj,2021,Zpracovatelský průmysl,83098
Královehradecký kraj,2021,Zásob. vodou; činnosti souvis. s odpady,2848
Královehradecký kraj,2021,Činnosti v oblasti nemovitostí,1704
Královehradecký kraj,2022,Administrativní a podpůrné činnosti,4904
Královehradecký kraj,2022,Doprava a skladování,10250
Královehradecký kraj,2022,Informační a komunikační činnosti,5985
Královehradecký kraj,2022,"Kulturní, zábavní a rekreační činnosti",4721
Královehradecký kraj,2022,Ostatní činnosti,5281
Královehradecký kraj,2022,Peněžnictví a pojišťovnictví,6577
Královehradecký kraj,2022,"Profesní, vědecké a technické činnosti",11055
Královehradecký kraj,2022,Stavebnictví,18739
Královehradecký kraj,2022,Těžba a dobývání,0
Královehradecký kraj,2022,"Ubytování, stravování a pohostinství",7441
Královehradecký kraj,2022,Velkoobchod a maloob.; opr. mot. vozidel,30010
Královehradecký kraj,2022,Veřejná správa a obrana; pov. soc. zabezp.,16468
Královehradecký kraj,2022,Vzdělávání,19361
Královehradecký kraj,2022,"Výroba a rozvod elektřiny, plynu, tepla",2091
Královehradecký kraj,2022,Zdravotní a sociální péče,20405
Královehradecký kraj,2022,"Zemědělství, lesnictví a rybářství",7380
Královehradecký kraj,2022,Zpracovatelský průmysl,83104
Královehradecký kraj,2022,Zásob. vodou; činnosti souvis. s odpady,3307
Královehradecký kraj,2022,Činnosti v oblasti nemovitostí,1914
Královehradecký kraj,2023,Administrativní a podpůrné činnosti,5711
Královehradecký kraj,2023,Doprava a skladování,16196
Královehradecký kraj,2023,Informační a komunikační činnosti,5798
Královehradecký kraj,2023,"Kulturní, zábavní a rekreační činnosti",3604
Královehradecký kraj,2023,Ostatní činnosti,4625
Královehradecký kraj,2023,Peněžnictví a pojišťovnictví,5423
Královehradecký kraj,2023,"Profesní, vědecké a technické činnosti",7683
Královehradecký kraj,2023,Stavebnictví,15698
Královehradecký kraj,2023,Těžba a dobývání,0
Královehradecký kraj,2023,"Ubytování, stravování a pohostinství",7538
Královehradecký kraj,2023,Velkoobchod a maloob.; opr. mot. vozidel,30509
Královehradecký kraj,2023,Veřejná správa a obrana; pov. soc. zabezp.,15632
Královehradecký kraj,2023,Vzdělávání,18072
Královehradecký kraj,2023,"Výroba a rozvod elektřiny, plynu, tepla",1284
Královehradecký kraj,2023,Zdravotní a sociální péče,21492
Královehradecký kraj,2023,"Zemědělství, lesnictví a rybářství",11558
Královehradecký kraj,2023,Zpracovatelský průmysl,76383
Královehradecký kraj,2023,Zásob. vodou; činnosti souvis. s odpady,3125
Královehradecký kraj,2023,Činnosti v oblasti nemovitostí,1278
Královehradecký kraj,2024,Administrativní a podpůrné činnosti,3785
Královehradecký kraj,2024,Doprava a skladování,13385
Královehradecký kraj,2024,Informační a komunikační činnosti,6798
Královehradecký kraj,2024,"Kulturní, zábavní a rekreační činnosti",3877
Královehradecký kraj,2024,Ostatní činnosti,3518
Královehradecký kraj,2024,Peněžnictví a pojišťovnictví,6155
Královehradecký kraj,2024,"Profesní, vědecké a technické činnosti",11960
Královehradecký kraj,2024,Stavebnictví,10731
Královehradecký kraj,2024,Těžba a dobývání,0
Královehradecký kraj,2024,"Ubytování, stravování a pohostinství",9633
Královehradecký kraj,2024,Velkoobchod a maloob.; opr. mot. vozidel,31857
Královehradecký kraj,2024,Veřejná správa a obrana; pov. soc. zabezp.,16855
Královehradecký kraj,2024,Vzdělávání,19706
Královehradecký kraj,2024,"Výroba a rozvod elektřiny, plynu, tepla",3105
Královehradecký kraj,2024,Zdravotní a sociální péče,25913
Královehradecký kraj,2024,"Zemědělství, lesnictví a rybářství",9233
Královehradecký kraj,2024,Zpracovatelský průmysl,76058
Královehradecký kraj,2024,Zásob. vodou; činnosti souvis. s odpady,3472
Královehradecký kraj,2024,Činnosti v oblasti nemovitostí,743
Liberecký kraj,1993,Administrativní a podpůrné činnosti,2427
Liberecký kraj,1993,Doprava a skladování,13188
Liberecký kraj,1993,Informační a komunikační činnosti,3240
Liberecký kraj,1993,"Kulturní, zábavní a rekreační činnosti",908
Liberecký kraj,1993,Ostatní činnosti,4643
Liberecký kraj,1993,Peněžnictví a pojišťovnictví,1538
Liberecký kraj,1993,"Profesní, vědecké a technické činnosti",2976
Liberecký kraj,1993,Stavebnictví,19407
Liberecký kraj,1993,Těžba a dobývání,4148
